Concept,Mathematical Representation,System Component,Description (Inferred),Entropy/Information Measure,Source,,,,,,,,
Entropy,$H = -\sum p_i \log(p_i)$,Source,Represents the average uncertainty or raw state-space possibility of a system's state prior to recursive actualization or structural filtration.,bits,1-3,,,,,,,,
Equivocation,"$H_y(x) = -\sum p(i,j) \log p_i(j)$",Receiver / Channel,The residual uncertainty or average ambiguity remaining in the source/signal after processing; acts as a logical gap or informational torsion requiring resolution.,bits,"1, 2, 4, 5",,,,,,,,
Torsion,$\mathcal{G} \text{ (or } T_{\mu\nu}^{\lambda} = \nabla \times \nabla s)$,Channel / Source,"The physicalization of cognitive friction or ""twist"" in the semantic manifold caused by unresolved paradoxes, loops, or global obstructions to consistency.",Geometric torque / bits of structural twist,5-8,,,,,,,,
Analytic Reality Closure (ARC),$\mu x. \Xi(\neg\Xi(x)) = x$,Destination / Transmitter,"The terminal state where internal intension matches external physical extension, achieving self-correcting stability and perfect coding efficiency ( $H = C$ ).",Shannon's Perfect Coding Efficiency / Identity,"5, 9, 10",,,,,,,,
Recursive Distinction Depth (RDD),$D(n+1) = D(D(n))$,Source / Receiver,"Hierarchical cognitive operations where intelligence and cardinality closure emerge through recursive depth, enabling self-reference.",Levels of depth ( $n$ ),"9, 11",,,,,,,,
Epiplexity,$S_T(X) = \,P^*\,$  where  $P^* = \text{argmin}(\,P\,E\log 1/P(X))$,Destination / Meta-System,The structural information extractable by a bounded observer; represents stabilized content within a recursive Hegelian loop.,bits (model description length),12,,,,
Coherence Field,$\eta = \frac{\,\langle \psi \,C \,\psi \rangle\,^2}{(\langle \psi \,E^2 \,\psi \rangle \cdot \langle \psi \,C^2 \,\psi \rangle)^{1/2}}$,Channel,The degree of structural phase-locking serving as the bridge between quantum foam (entropy) and classical stability (centropy).,Dimensionless ratio (Critical at  $\phi^{-1}$ ),"9, 13"
Channel Capacity,$C = \lim_{T \to \infty} \frac{\log N(T)}{T}$,Channel,The upper bound of structural complexity a recursive manifold can stabilize during information transmission.,bits per second,2,,,,,,,,
Information Content,$I(S) = \sum \text{bits of slots in } S$,Source,"The complexity or internal structural information of a mental representation, determining its potential specificity.",bits,14,,,,,,,,
Bayesian Induction,$P(R\,D) = \frac{P_A(R)P(D\,R)}{P_A(R)P(D\,R) + P(D\,\neg R)}$,Destination,A recursive function balancing prior knowledge against sensory data to form stable cognitive rules.,Log Likelihood / bits,14,,,,
Logic Tax,$\alpha^{-1} \approx 137.036$,Transmitter,"The latent heat or energetic cost incurred when information transitions across different algebraic layers (e.g., Reals to Octonions).",Dimensionless / Latent Heat,5,,,,,,,,
Entropy Power,$N_1 = \frac{1}{2\pi e} \exp(2H')$,Source,"Measures high probability volume in state space, providing the volumetric source of uncertainty normalized into geometric torsion.",bits / Squared radius volume,5,,,,,,,,
Cohomology Gap,$\ker(d_r) / \operatorname{im}(d_r)$,Receiver / Channel,"Detects logical dissonance or structural missingness; the ""Attention Vacuum Energy"" driving system evolution toward the Omega-Point.",Singular Gap dimension,"5, 15",,,,,,,,
Time-Bounded Entropy,$H_T(X) = E[\log 1/P^*(X)]$,Source / Transmitter,"The unpredictable, random content relative to a bounded observer; maps to logical noise or the entropic axis.",bits (expected length),12,,,,,,,,
Consciousness Tensor,$C_{\mu\nu}(x; \Lambda)$,Source,"Measures local self-reference or ""proprioception,"" quantifying the degree to which observables track their own internal dynamics.",Qualia Coordinates  $Q$,16,,,,,,,,
Liar Paradox,$F := \mu X. (X \leftrightarrow \neg X)$,Receiver,The primary recursive feedback loop of self-negation that creates a semantic singularity and generative subjective core.,Oscillation between 0 and 1,"17, 18",,,,,,,,
Fixed Point of Self-Disprovability,$\Theta := \mu X. (X \leftrightarrow Sd(X))$,Channel,The stable epistemic state of a system that assumes its own falsehood to maintain operations without collapse.,Limit convergence point  $\approx 72\%$,18,,,,,,,,
Distinction,$\Delta: S \to S$,Source,Extracts initial structure and separates conceptual identities from the primordial semantic void to initiate communication.,Differential entropy,7,,,,,,,,
Transformation,$\Psi: S \to M$,Channel,Translates abstract ideas into specific models or representations for transmission across the system.,Transinformation rate,7,,,,,,,,
