Property Name,Algebraic/Logical Origin,Recursive Distinction Depth (RDD),Contrarecursive Filtration Level (Kp),Stabilizing Mechanism,Physical Manifestation,Mathematical Formalism,Source,,
Combinatorial Invariant 137 (Fine Structure Constant),Primality Torsion within HALIRA recursive cycles,3,Kp,G-REME (General Recursive Equilibrium Metadata Engine) terms,Photonic emergence and electromagnetic coupling constant,Homotopy Type Theory (HoTT) / HALIRA loops,Inferred,,
Prime Torsion,Irreducible Recursive Architecture in HALIRA,4,K2,Spin-resonance damping,Gravity and spacetime curvature emergence,HoTT dependent types for torsion-free sheaves,Inferred,,
Fixed Point Stability,Recursive Distinction Theory (RDT) self-reference,3,K1,Recursive corrections to entropic divergence,Mass stability and matter-energy persistence,Fixed-point combinators in recursive logic,Inferred,,
Spectral Gap Invariance,Algebraic structure of filtration levels,5,K3,Recursive metadata filtration,Observable spectral gaps in quantum phenomena,HALIRA irreducible recursive structures,Inferred,,
Fixed Points,Fixed-point operators in category theory (Plotkin-Simpson),3 (Meta-cognition target),K0 through Kp,"Stabilizing master equations (e.g., Gaussian elimination for simultaneous fixed points)",Observable recursive phenomena in complex systems,"HOTT, HALIRA, and Iteration Theories",1,,
Word M-Script (Irreducible Unit),M-Script Algebra (discrete mathematics of functions on feature structures),3 (Representation of social regularities and Theory of Mind),Kp (Handling structural and word sense ambiguities via m-intersection),Bayesian Sufficient Evidence Criterion (typically 6-12 positive examples),Linguistic structure/Phoneme sequence segmentation in human neurobiology,Unification-based Script Algebra (similar to HOTT-type feature structure unification),2,,
Combinatorial Invariant (Lexicalised Syntax),Fully lexicalised unification grammar,RDD ≥ 3 (Mapping words to recursive script trees),K0-Kp (Resolving long-range movement and gaps via tree-crawling),Primary Unlearning Process (implicit negative evidence via discrepancy monitoring),Observed cross-linguistic universals (Greenberg-Hawkins universals),M-Unification (reversible function application from scripts to scripts),2,,
Fixed Points of Meaning (Scripts),Model-theoretic semantics of social situations,3 (Primate social intelligence baseline),K1 (Filtration of random extra noise through script intersection),Crossover Diagram (Log-probability balance between Rule and No-Rule hypotheses),Cognitive grounding in primate social alliances and navigation,A >s B iff σ(A) < σ(B) (Scope-set inclusion algebra),2,,
Continuum Hypothesis Resolution,Recursive Distinction Theory (RDT),RDD ≥ 3,Kp (Unspecified),Cardinality closure via fixed point,Informational density scaling,D* ≅ D³(D*),3,,
Consistency of Arithmetic,HALIRA Framework,RDD ≥ 3,Paradox Stabilization,Metamorphic Boundary (∂H² = id),Structural stability of contradictory systems,Hegelian Algebraic Loop,3,,
