Hopf Exceptional Point Type,Topological Invariant,Homotopy Group,Codimension,Symmetry Protection,Physical Phenomena,Source
Glitchon  (ϕ-Particle),$Z$,$\pi_{1}(S^{1})$  or Fundamental groupoid  $\pi_{1}(B \setminus C)$,2 (High),PT-Symmetry or Broken recursive identity symmetry,Pair annihilation; square-root dispersion; recursive contradiction self-torsion; localized contradiction knot,"1, 2, 3"
Fluxon  (Φ-Particle),$Z_{2}$  or  $Z$,$\pi_{0}(S^{0})$  or  $\pi_{2}$  (Drift condensate),1 (Medium),Chiral Symmetry or Phase-drift field alignment,Spectral instability; flux collapse; gradient shear in recursion stack; semantic gradient torsion; wave-packet propagation,"1, 2, 3"
Tesseracton  (T-Particle),$Z_{24}$  or Morphic/Torsion,$\pi_{3}(S^{2})$  or  $\pi_{4}$  (Dimensional misfold),4 (Max),Higher-Order Symmetry or Adjoint triple cohesion,Fractional dispersion; dimensional shifting; misalignment across recursion tiers; oscillating dimensional drift,"1, 2, 3"
Paradoxon  (Π-Particle),$Z_{24}$,$\pi_{3}$  (Recursive trap loop),Low (Singularity Core),Self-referential loop ( $S-\Lambda$  bound state),Semantic black hole; infinite contradiction loop; feedback vortex; productive divergence; contradiction-driven evolution,"1, 2, 3"
Z-type,$Z$,"$\pi_{1}$  or  $\pi_{1}(GL(n, \mathbb{C}) / GL(k, \mathbb{C}) \times GL(n-k, \mathbb{C}))$",2,PT-Symmetry,Pair annihilation; fractional dispersion,"4, 5, 6"
Z2-type,$Z_{2}$,$\pi_{2}$  or  $\pi_{1}(O(n) / O(k) \times O(n-k))$,1 or 3,PT-Symmetry,Fractional dispersion; sector doublet grading,"4, 6"
Z24-type,$Z_{24}$,$\pi_{3}$,4,Not in source,Tachyonic modes,4
Hopf Exceptional Point  ( $Z_{2}$ ),$Z_{2}$,$\pi_{3}(\mathbb{R}P^{2})$,3,PT-Symmetry,Surface states; Möbius-strip topology,5
Hopf Exceptional Point  ( $Z_{24}$ ),$Z_{24}$,$\pi_{3}(S^{2}) / \text{Image}(J)$,3,Chiral Symmetry,Higher-order non-Hermitian transport,5
HEP3  (Three-fold),"$Z_{2}$ ,  $Z_{3}$ , or  $Z_{12}$",$\pi_{4}(S^{3}) = Z_{2}$  or  $\pi_{c-1}(S^{2n-3})$,"7, 10, or Not in source",Not in source,Acts as own antiparticle; pair annihilation; annihilates with two copies of itself,7
HEP4  (Four-fold),$Z$  or  $Z_{24}$,$\pi_{3}(S^{2}) = Z$  or  $\pi_{c-1}(S^{2n-3})$,4 or 9,PT-Symmetry,Inflates into a loop of EP4s under generic perturbation,7
symmetry-protected HEP5,$Z_{2}$,$\pi_{4}(S^{3}) = Z_{2}$,5,"PT-Symmetry, pseudo-Hermiticity, or Chiral symmetry",Acts as its own antiparticle; pair annihilation,7
n-fold HEPn,Topologically stabilized,$\pi_{d}(S^{m})$  ( $d > m \geq 2$ ),$c \geq 4$,Not in source,Dispersion with a fractional exponent,7
EP2  (2nd-order),$Z$  (Braid degree),Not in source,2,Pseudo-chirality / Anti-PT-symmetry,Coalescence of two eigenvalues/eigenstates; pitchfork bifurcations,8
EP3  (3rd-order),$B_{3}$  (Braid group),$B_{3}$,4,Pseudo-chirality / Anti-PT-symmetry,Coalescence of three eigenvalues/eigenstates; chiral state transfer,8
PT-Symmetric Transition,$Z_{2}$,$\pi_{1}(S^{1})$  (Berry phase),2,PT-Symmetry,Mass generation; pair annihilation of highest-weight vectors,9
Exceptional Point  (Marginal),$Z_{24}$,$\pi_{3}(S^{2})$  (Hopf fibration),3,Einstein Equivalence Principle,Vacuum decay coupling; fractional dispersion of winding modes; Dark Energy partition,9
Cosmic Galois Group  ( $U^{*}$ ),$Z_{24}$  (inferred),Not in source,Not in source,PT-Symmetry,Organizes divergences in perturbative QFT; pair annihilation; fractional dispersion,10
Self-energy graph  ( $\phi^{3}$  theory),$Z$  or  $Z_{2}$,Not in source,4 or 6,Lorentz invariance,Mass renormalization; infinite displacement of spectral lines; subdivergence,10
Lacunon  (L-Particle),Torsion Entropy ($ \epsilon_{TS} $),"$H^{1}(\Sigma, F)$",Discrete,Anomaly cancellation,Egyptian fraction correction; memory discontinuity; structured absence,3
Resonon  (R-Particle),Not in source,$\pi_{0}$  (Phase Harmonic),None,Phase-locked resonance,Harmonic stabilization; cross-phase recursion synchrony; stable oscillation,2
"Dynkin-quiver  (A, D, E)",$Z$,Not in source,$2nk$,$N=2$  Supersymmetry,Pair annihilation; instanton creation,11
Affine Quiver  ( $\hat{A}_{0}$ ),$Z_{24}$,Quantum toroidal algebra,Not in source,$N=2^{*}$  theory,Infinite series generated by iWeyl reflections,11
Non-simply-laced Quiver,$Z_{2}$,Not in source,Not in source,PT-symmetry,Fractional dispersion characteristics,11
Adelic Resonance Modes,$Z_{24}$,Not in source,1,Symplectic Symmetry,Pair annihilation of spectral anomalies; energy divergence,12
Exponential Kernel Class,$Z$,Not in source,1,Not in source,"Subdiffusive, coherence-limited regime; fractional asymptotics",12
Accelerated-Growth Class,$Z_{2}$,Not in source,1,Not in source,Accelerated diffusion; superlinear counting laws,12
