Ontological Domain,Core Mathematical Constructs,Spatial/Geometric Realization,Agency/Inference Mechanism,Complexity/Simplicity Trade-off,Source
Non-compact Calabi-Yau manifolds / Noncommutative toric varieties,"MacMahon functions, ADHM equations, spectral actions, and Dirac operators",Spectral geometries; quantum toric realities; fuzzy spectral triples,Representation through noncommutative geometry and meta-topological mastery,Non-compactness allows for infinite-dimensional complexity within localized geometric structures,1-6
4D reality state space / General Intelligence (FEP+ Framework),"Jensen-Shannon Divergence (JSD), coupled oscillators, and Free Energy Functional ( $F^*$ )",Syntactic geometries; algorithmic epistemology; state-space trajectories; holographic informational boundaries,Active and Perceptual Inference ( $\chi$ ); free energy minimization; self-organizing criticality,Masters infinite-dimensional complexity through simple syntactic rules and efficient inference algorithms,7-12
4D reality state space / Spectral Algebraic Geometry,"Nonconnective spectral Deligne-Mumford stacks, oriented elliptic curves, and  $E_{\infty}$ -rings",Moduli stack of smooth elliptic curves ( $M_{Ell}$ ),Spectral Deligne-Mumford stack characterization; representable by sheaves of commutative ring spectra,Non-equivalent  $\infty$ -topoi sharing the same 1-topos; truncation to classical schemes for simplified views,13
4D reality state space / Internal computational process,"Commutative Hopf algebra of workspaces ( $H$ ), Rota-Baxter semirings, and Birkhoff factorization","Moduli spaces of metric trees ( $BHV_n$ ), Stasheff associahedron ( $K_n$ ), and Riemannian manifolds",Recursive assignment of meaning through characters ( $\phi$ ) and Bogolyubov preparation,Minimal Search via Birkhoff factorization to eliminate non-fundamental Merge forms,14
Syntactic structures in Generative Linguistics,"Hopf algebras of rooted trees, commutative magmas, and Dyson–Schwinger equations",Non-planar binary rooted trees and forests,Syntactic Merge operation (binary set formation) via combinatorial generative search,Binary Merge is optimal;  $n$ -ary Merge ( $n \geq 3$ ) leads to undergeneration and overgeneration,15
Perturbative Quantum Field Theory (QFT),Hopf algebras of Feynman graphs and rooted trees; Dyson–Schwinger equations,Hierarchy of Feynman graphs and nested tree structures,Recursive construction of Green functions implementing the variational least action principle,Algebraic renormalization extracts finite values from divergent integrals using Birkhoff factorization,15
Information Theory and Communication Systems,"Entropy ( $H$ ), Channel Capacity ( $C$ ), and Markoff processes",$n$ -dimensional function space; coordinates represent ordinates of band-limited functions,Statistical reproduction of messages; decoding via least R.M.S. discrepancy,"Trade-off between bandwidth, time, and signal-to-noise ratio; exchange of redundancy for error reduction",16
Homological Algebra and Category Theory,"Monads ( $T$ -algebras), Cotriple Cohomology, and adjoint functors","Comma categories (objects over  $X$ ), simplicial objects, and crossed products",Categorical derivation; classification of principal objects via non-abelian 1-cocycles,"Tripleableness characterizes ""algebraicity""; reduction of complex structures to underlying category interactions",17
4D reality state space,Jensen-Shannon Divergence and coupled oscillators,Dynamically tunable LC oscillator circuit elements,Parity-time (PT) symmetry implementations tracking circuit energy,Minimal classical system enabling parity-time symmetry without spatially separated gain/loss,1
Non-compact Calabi-Yau manifolds,MacMahon functions and ADHM equations,Spectral presheaves over orthomodular lattices or  $W^*$ -algebras,"Four distinct negations (paraconsistent, intuitionistic, etc.) defining internal algebras",Orthomodular logic internalisation via double negation monads in complete orthocomplemented lattices,18
Multimodal Large Language Model (MLLM) 4D reality state space,"Jensen-Shannon Divergence, Differential Visual Reasoning Policy (DVRP), and Diffusion noise","Visual triplets (Invariant, Decremental, Incremental) on a differential policy manifold",Reinforcement Learning with Verifiable Rewards (RLVR); intrinsic supervision via visual sensitivity,Minimizing divergence from perturbed inputs ensures robustness without dense annotations,19
4D reality state space geometry / Non-Abelian algebraic topology,"Quantum groupoid, algebroid, and functorial representations; Lie bialgebroids; von Neumann algebra factors",Quantized spacetime topology; fluctuating quantum spacetimes at the Planck scale,Representation of extended quantum symmetries; functorial computation of local operator eigenvalues,Unified categorical framework; finite-dimensional Lie algebras simplify computations vs. infinite sets,20
Non-compact Calabi-Yau manifolds / Noncommutative toric varieties,MacMahon functions and ADHM equations,Quantum geometry and noncommutative toric varieties,Meta-Topological Mastery,Noncommutative toric varieties and quantum geometry contrasted with Extended Free Energy Principle (FEP+),Not in source
4D reality state space,Jensen-Shannon Divergence and coupled oscillators,Syntactic Geometries & Algorithmic Epistemology,Meta-Topological Mastery,Not in source,Not in source
