Symbol,Name or Meaning,Page Reference,Chapter,Category,Source,,
Δ,The simplex category of finite nonempty ordinals n = {0 < 1 < ··· < n} and order-preserving maps,4,Chapter 1. ∞-Cosmoi and Their Homotopy 2-Categories,Category Theory,1,,
sSet,"The category of simplicial sets, defined as Set to the power of Δ-op",4,Chapter 1. ∞-Cosmoi and Their Homotopy 2-Categories,Simplicial Sets,1,,
Δn,"The standard n-simplex, the simplicial set represented by n in Δ",4,Chapter 1. ∞-Cosmoi and Their Homotopy 2-Categories,Simplicial Sets,1,,
∂Δn,The boundary sphere of the standard n-simplex,4,Chapter 1. ∞-Cosmoi and Their Homotopy 2-Categories,Simplicial Sets,1,,
Λkn,The k-horn of the standard n-simplex,4,Chapter 1. ∞-Cosmoi and Their Homotopy 2-Categories,Simplicial Sets,1,,
hX,The homotopy category of a simplicial set X,6,Chapter 1. ∞-Cosmoi and Their Homotopy 2-Categories,Category Theory,1,,
f ⊣ u,Adjunction where f is the left adjoint and u is the right adjoint,40,"Chapter 2. Adjunctions, Limits, and Colimits I",Category Theory,1,,
A^J,The ∞-category of J-shaped diagrams in A,50,"Chapter 2. Adjunctions, Limits, and Colimits I",Category Theory,1,,
"Hom_A(f, g)",The comma ∞-category associated to a cospan C -> A <- B,76,Chapter 3. Comma ∞-Categories,Category Theory,1,,
A^2,The ∞-category of arrows in A,68,Chapter 3. Comma ∞-Categories,Category Theory,1,,
Ω,The loops functor in a pointed ∞-category,119,"Chapter 4. Adjunctions, Limits, and Colimits II",Homotopy Theory,1,,
Σ,The suspension functor in a pointed ∞-category,119,"Chapter 4. Adjunctions, Limits, and Colimits II",Homotopy Theory,1,,
⊕,The binary direct sum bifunctor,130,"Chapter 4. Adjunctions, Limits, and Colimits II",Category Theory,1,,
よ,The Yoneda embedding,12,Acknowledgments,Category Theory,1,,
∩,The intersection of sets,14,0.2 A First Pass at the Idea of a Sheaf,Set Theory,2,,
∪,The union of sets,14,0.2 A First Pass at the Idea of a Sheaf,Set Theory,2,,
⊆,Subset relation between sets,25,1.1 Categorical Preliminaries,Set Theory,2,,
≤,Binary relation for a pre-order (reflexive and transitive),25,1.1 Categorical Preliminaries,Order Theory,2,,
f: x → y,A morphism from source x to target y,25,1.1 Categorical Preliminaries,Category Theory,2,,
g ◦ f,The composite morphism of f and g,25,1.1 Categorical Preliminaries,Category Theory,2,,
idx,Identity morphism on object x,25,1.1 Categorical Preliminaries,Category Theory,2,,
"a, b, c","Ternary relation for a cyclic order (after a, one arrives at b before c)",26,1.1 Categorical Preliminaries,Order Theory,2,,
Cop,The dual (or opposite) category,34,1.1.3 Some New Categories From Old,Category Theory,2,,
α: F ⇒ G,A natural transformation between functors F and G,52,1.2.3 Natural Transformations,Category Theory,2,,
⊗,Monoidal product in a symmetric monoidal category,60,"1.3.1 First, Enrichment!",Category Theory,2,,
↓ p,Principal downset generated by element p,65,1.3.2 Downsets and Yoneda in the Miniature,Order Theory,2,,
F ⊣ G,Adjunction where F is left adjoint to G,94,1.4.1 Adjunctions through Morphology,Category Theory,2,,
¬p,Negation of p in a Heyting algebra,106,1.4.2 Adjunctions through Modalities,Logic,2,,
◇p,Possibility operator (possibly p),109,1.4.2 Adjunctions through Modalities,Logic,2,,
□p,Necessity operator (necessarily p),109,1.4.2 Adjunctions through Modalities,Logic,2,,
∂p,The boundary of p (p ∧ ∼p),109,1.4.2 Adjunctions through Modalities,Logic,2,,
∂,Boundary operator for n-simplices,234,4.2.1 Primer on (Co)Homology,Topology,2,,
∈,belongs to,2,Chapter 1,Set Theory,3,,
∅,the empty set,2,Chapter 1,Set Theory,3,,
⊆,is contained in,3,Chapter 1,Set Theory,3,,
U,the universal set,3,Chapter 1,Set Theory,3,,
\,A\,,the cardinality of A,4,Chapter 1,Set Theory,3
P(A),the set of all subsets of A,4,Chapter 1,Set Theory,3,,
A ∡ B,the union of sets A and B,6,Chapter 1,Set Theory,3,,
A ∩ B,the intersection of sets A and B,6,Chapter 1,Set Theory,3,,
A - B,the complement of B with respect to A,7,Chapter 1,Set Theory,3,,
Ā,the complement of A,7,Chapter 1,Set Theory,3,,
A ⊕ B,the symmetric difference of sets A and B,9,Chapter 1,Set Theory,3,,
"GCD(a, b)",the greatest common divisor of a and b,24,Chapter 1,Integers,3,,
"LCM(a, b)",the least common multiple of a and b,26,Chapter 1,Integers,3,,
≡ r (mod a),congruent to r mod a,27,Chapter 1,Integers,3,,
A^T,the transpose of the matrix A,34,Chapter 1,Matrices,3,,
A ∨ B,the meet of A and B,35,Chapter 1,Matrices,3,,
A ∧ B,the join of A and B,35,Chapter 1,Matrices,3,,
A ⊙ B,the Boolean product of A and B,36,Chapter 1,Matrices,3,,
~p,not p,47,Chapter 2,Logic,3,,
p ∧ q,p and q,48,Chapter 2,Logic,3,,
p ∨ q,p or q,48,Chapter 2,Logic,3,,
∀,for all,50,Chapter 2,Logic,3,,
∃,there exists,50,Chapter 2,Logic,3,,
p → q,p implies q,52,Chapter 2,Logic,3,,
p ↔ q,p is equivalent to q,53,Chapter 2,Logic,3,,
nPr,the number of permutations of n objects taken r at a time,75,Chapter 3,Counting,3,,
n!,n-factorial,75,Chapter 3,Counting,3,,
nCr,the number of combinations of n objects taken r at a time,78,Chapter 3,Counting,3,,
p(E),the probability of the event E,87,Chapter 3,Probability,3,,
A % B,the Cartesian product of A and B,102,Chapter 4,Relations,3,,
M_R,the matrix of R,111,Chapter 4,Relations,3,,
R*,the reachability relation of R,121,Chapter 4,Relations,3,,
Δ,the relation of equality,124,Chapter 4,Relations,3,,
a,the equivalence class of a,134,Chapter 4,Relations,3,,
1_A,the identity function on A,170,Chapter 5,Functions,3,,
f^-1,the inverse of the function f,173,Chapter 5,Functions,3,,
f_A,the characteristic function of a set A,177,Chapter 5,Functions,3,,
⌊ x ⌋,the largest integer less than or equal to x,178,Chapter 5,Functions,3,,
⌈ x ⌉,the smallest integer greater than or equal to x,178,Chapter 5,Functions,3,,
"LUB(a, b)",the least upper bound of a and b,242,Chapter 7,Order Relations,3,,
"GLB(a, b)",the greatest lower bound of a and b,242,Chapter 7,Order Relations,3,,
y(x),The solution field or response of the field subject to a forcing field,6,2.1. g-Embedded Hybrid System Approach,Differential Equations,4,,
f(x),The forcing field in a linear differential equation,6,2.1. g-Embedded Hybrid System Approach,Differential Equations,4,,
H(t),The Heaviside step function modeling a sudden applied force,1,Introduction,Heaviside Calculus,4,,
g(x),The free function in the Theory of Functional Connections (TFC) framework,3,Summary of the Theory of Functional Connections,Functional Interpolation,4,,
L,Linear differential operator,6,2.1. g-Embedded Hybrid System Approach,Operators,4,,
Δx1,Difference defined as x − x1,5,2.1. g-Embedded Hybrid System Approach,General Math,4,,
"Ηi (x, g(x))",Coefficient functionals associated with support functions,4,Summary of the Theory of Functional Connections,Functional Interpolation,4,,
si(x),User-defined support functions that are linearly independent,4,Summary of the Theory of Functional Connections,Functional Interpolation,4,,
Δg(x),Difference of local free functions defined as g2(x) − g1(x),5,2.1. g-Embedded Hybrid System Approach,General Math,4,,
Δg(x1),The value of the difference Δg(x) evaluated at point x1,5,2.1. g-Embedded Hybrid System Approach,General Math,4,,
Di,Differential operator defined as di / dxi,6,2.1. g-Embedded Hybrid System Approach,Operators,4,,
Αi(x),Known coefficient functions in a 1-dimensional domain,6,2.1. g-Embedded Hybrid System Approach,Differential Equations,4,,
Ζ,Unknown coefficients solved numerically via linear least squares,7,2.1. g-Embedded Hybrid System Approach,Matrices,4,,
Lk(z(x)),Legendre orthogonal polynomials used for local free functions,7,2.1. g-Embedded Hybrid System Approach,Polynomials,4,,
Α,Matrix structured as a block diagonal or lower block triangular matrix,7,2.1. g-Embedded Hybrid System Approach,Matrices,4,,
B,Matrix coming from the constraint operator terms,7,2.1. g-Embedded Hybrid System Approach,Matrices,4,,
R,Vector coming from the constraint value terms,7,2.1. g-Embedded Hybrid System Approach,Matrices,4,,
Σ,A simple bivector formed by two vectors X and Y (Σ ≡ X ∧ Y),23,II.2.4,Multilinear Algebra / Geometry,5,,
ıX,The interior product with a given vector field X,12,II.1.1,Differential Forms,5,,
∧,The exterior multiplication or wedge-product,12,II.1.1,Differential Forms / Geometric Algebra,5,,
d,The exterior derivative,13,II.1.1,Differential Forms,5,,
"〈X,Y〉",The scalar product (metric contraction) between two vectors,22,II.2.3,Metric Geometry,5,,
η,"The Minkowski metric tensor with (+1, ..., −1) signature",22,II.2.3,Metric Geometry,5,,
∗,The Hodge star operator establishing linear isomorphism between k-forms and (m-k)-forms,29,II.2.6,Differential Forms / Geometry,5,,
Θ,Torsion 2-form (Θ ≡ Dωθ),47,II.3.4,Cartan Geometry,5,,
Ω,Curvature 2-form (Ω ≡ dω + 1/2 ω ∧ ω),47,II.3.4,Cartan Geometry,5,,
∇Xf,The universal covariant derivative generated by fundamental vector fields,53,II.3.6,Connection Theory,5,,
$\oplus$,Sequence concatenation,4,2.1 Problem Setup,Logic / Computer Science,6,,
$\in$,Element of / Belongs to,4,2.1 Problem Setup,Set Theory,6,,
$\mathbb{R}^{d_M}$,Real coordinate space of dimension d_M,4,2.1 Problem Setup,Matrices / Linear Algebra,6,,
$\Sigma$,Covariance matrix / Summation,5,2.3 Cross-model Subspace Alignment,Matrices / Linear Algebra,6,,
$\approx$,Approximately equal to,12,6 The Master Key Hypothesis & Implications,Logic,6,,
$\rightarrow$,Mapping / Implication,12,6 The Master Key Hypothesis & Implications,Logic / Set Theory,6,,
$\ll$,Much less than,5,2.3 Cross-model Subspace Alignment,Counting / Analysis,6,,
$\le$,Less than or equal to,5,2.3 Cross-model Subspace Alignment,Counting / Logic,6,,
$\ge$,Greater than or equal to,7,3 Atomic And Non-Atomic Capabilities,Counting / Logic,6,,
$W^\star$,Optimal linear transformation matrix,5,2.3 Cross-model Subspace Alignment,Matrices,6,,
$\mathbb{E}$,Expected value / Aggregate performance,7,3 Atomic And Non-Atomic Capabilities,Counting / Probability,6,,
"f : {0, 1}n → {0, 1}m",Function mapping binary strings of length n to length m,6,2.1,Logic / Set Theory,7,,
K(x),Prefix Kolmogorov complexity of a finite binary string x,4,2.1,Logic / Computational Theory,7,,
H(X),Shannon entropy for the random variable X,4,2.1,Information Theory,7,,
⊗,tensor product or monoidal operator (also used for conjunction connective in fuzzy logics),6,Chapter 1: Monoidal logics,Monoidal Logic / Fuzzy Logic,8,,
⇒,residuum or right adjoint operator (logical implication),6,Chapter 1: Monoidal logics,Monoidal Logic / Fuzzy Logic,8,,
∨,disjunction operator (join in lattice),6,Chapter 1: Monoidal logics,Lattice Theory / Monoidal Logic,8,,
∧,conjunction operator (meet in lattice),6,Chapter 1: Monoidal logics,Lattice Theory / Monoidal Logic,8,,
⊥,bottom element (false value),6,Chapter 1: Monoidal logics,Lattice Theory / Monoidal Logic,8,,
⊤,top element (true value),6,Chapter 1: Monoidal logics,Lattice Theory / Monoidal Logic,8,,
≤,partial order relation,6,Chapter 1: Monoidal logics,Order Theory,8,,
⇔,biimplication (similarity relation),7,Chapter 1: Monoidal logics,Fuzzy Logic / Semiotics,8,,
¬,negation,7,Chapter 1: Monoidal logics,Logic,8,,
· = ·,Ω-valued map representing similarity in A,9,Chapter 2: Multi-morphisms,Set Theory / Semiotics,8,,
f : A ⇀ B,multi-morphism (Ω-map or Ω-matrix) between Ω-sets,9,Chapter 2: Multi-morphisms,Category Theory / Semiotics,8,,
f◦,transpose of a multi-morphism,13,Chapter 2: Multi-morphisms,Matrix Theory / Category Theory,8,,
f ⊣ f◦,adjunction (left adjoint),13,Chapter 2: Multi-morphisms,Category Theory,8,,
Lim D,limit of a multi-diagram,17,Chapter 4: Multi-diagrams,Category Theory,8,,
coLim D,colimit of a multi-diagram,21,Chapter 4: Multi-diagrams,Category Theory,8,,
⊳,diagonal component (represents dependencies in term structure),37,Chapter 8: Sign Systems and Semiotics,Semiotics / Category Theory,8,,
⊲,codiagonal component (connects similar component outputs),43,Chapter 9: Logics,Semiotics / Category Theory,8,,
d \,=λ ∀D,concept d serves as a λ-model for diagram D,54,Chapter 11: Concept description,Model Theory / Semiotics,8,
∂wf,Lagrangian syntactic operator (differential operator),49,Chapter 10: Lagrangian syntactic operators,Differential Semiotics,8,,
⊢λ,consequence relation or inference operator,64,Chapter 13: Consequence relation,Logic / Inference Systems,8,,
∩,Standard set-theoretic intersection operation,64,1.1. The logic of classical physics,Set Theory,9,,
∨,The 'or' logical connective interpreted as join in a lattice,66,1.2. Spatial quantum logic,Logic,9,,
∧,The 'and' logical connective interpreted as meet in a lattice,66,1.2. Spatial quantum logic,Logic,9,,
¬,Negation defined by (x → ⊥) in a Heyting algebra,68,1.3. Generalized notions of space,Logic,9,,
→,Implication operator satisfying x ≤ (y → z) iff x ∧ y ≤ z,68,1.3. Generalized notions of space,Logic,9,,
≤,"Partial order relation (e.g., inclusion for set subsets)",68,1.3. Generalized notions of space,Set Theory,9,,
⊤,Symbol for truth or the top element of a frame,69,1.4. Points and opens of locales,Logic,9,,
⊥,Symbol for falsity or the bottom element of a frame,68,1.3. Generalized notions of space,Logic,9,,
⊕,Coproduct or direct sum of two objects,2,1 Introduction,Algebra/Category Theory,10,,
×,Cartesian product of sets or objects,67,1.2. Spatial quantum logic,Set Theory,9,,
0,The empty type (or empty set),6:6,3.1,Set Theory / Type Theory,11,,
1,The unit type (or singleton set),6:6,3.1,Set Theory / Type Theory,11,,
A + B,The sum type (disjoint union of sets A and B),6:6,3.1,Set Theory / Type Theory,11,,
A × B,The product type (cartesian product of sets A and B),6:6,3.1,Set Theory / Type Theory,11,,
A ↔1 B,Level-1 program type representing an isomorphism between types A and B,6:6,3.1,Logic / Type Theory,11,,
c1 ⊚ c2,Sequential composition of combinators,6:6,3.1,Type Theory,11,,
c1 ⊕ c2,Parallel additive composition of combinators,6:6,3.1,Type Theory,11,,
c1 ⊗ c2,Parallel multiplicative composition of combinators,6:6,3.1,Type Theory,11,,
c1 ↔2 c2,Level-2 combinator asserting that two level-1 combinators denote the same bijection,6:7,3.1,Logic / Groupoids,11,,
id↔1,The identity isomorphism,6:6,3.1,Type Theory,11,,
swap+,The symmetry isomorphism for sum types (A + B ↔ B + A),6:6,3.1,Set Theory,11,,
assocl+,Left-associativity for sum types (A + (B + C) ↔ (A + B) + C),6:6,3.1,Set Theory,11,,
dist,Distributivity of product over sum ((A + B) × C ↔ (A × C) + (B × C)),6:6,3.1,Set Theory,11,,
Sn,The finite symmetric group of permutations on n elements,6:13,5,Counting / Group Theory,11,,
↭,Undirected Coxeter relation on lists,6:15,5.3,Logic / Group Theory,11,,
⇝,Directed reduction relation in the rewriting system,6:16,5.4,Logic,11,,
⊕,exclusive OR or semantic combination/aggregation,"7, 9",II.F,Logic / Semantic Modeling,12,,
∑,Summation of a sequence,5,II.C,Counting / Series,12,,
,plus sign; denotes addition or a positive number,Not in source,Arithmetic operators,Arithmetic,13,,
−,"minus sign; denotes subtraction, additive inverse, or set-theoretic complement",Not in source,Arithmetic operators,Arithmetic / Set Theory,13,,
×,"multiplication sign; denotes multiplication, cross product, or Cartesian product",Not in source,Arithmetic operators,Arithmetic / Geometry / Set Theory,13,,
·,"dot; denotes multiplication, dot product, or a placeholder for an element",Not in source,Arithmetic operators,Arithmetic / Geometry,13,,
÷,division sign; denotes division or occasionally subtraction,Not in source,Arithmetic operators,Arithmetic,13,,
:,"colon; denotes ratio, division, or as a separator meaning 'such that'",Not in source,Arithmetic operators,Arithmetic / Set Theory,13,,
√,square-root/radical symbol; denotes square root or nth root,Not in source,Arithmetic operators,Arithmetic,13,,
∩,intersection of sets A and B,Not in source,Set theory,Set Theory,13,,
∪,set-theoretic union,Not in source,Set theory,Set Theory,13,,
∈,set membership; denotes an element is in a set,Not in source,Set theory,Set Theory,13,,
∅,empty set,Not in source,Set theory,Set Theory,13,,
⊂,set inclusion (subset),Not in source,Set theory,Set Theory,13,,
¬,not sign; denotes logical negation,Not in source,Basic logic,Logic,13,,
∨,descending wedge; denotes logical 'or',Not in source,Basic logic,Logic / Lattice Theory,13,,
∧,wedge; denotes logical 'and' or greatest lower bound,Not in source,Basic logic,Logic / Lattice Theory,13,,
∀,universal quantification; 'for all',Not in source,Basic logic,Logic,13,,
∃,existential quantification; 'there exists',Not in source,Basic logic,Logic,13,,
⇒,material conditional; 'implies',Not in source,Basic logic,Logic,13,,
⇔,logical equivalence; 'if and only if',Not in source,Basic logic,Logic,13,,
⊥,up tack; denotes logical predicate always false (falsum),Not in source,Basic logic,Logic,13,,
⊤,tee; denotes logical predicate always true (tautology),Not in source,Basic logic,Logic,13,,
∑,capital-sigma; denotes the sum of a finite number of terms,Not in source,Linear and multilinear algebra,Algebra / Calculus,13,,
∏,capital-pi; denotes the product of terms or Cartesian product,Not in source,Linear and multilinear algebra,Algebra / Set Theory,13,,
⊕,direct sum or exclusive or,Not in source,Linear and multilinear algebra,Algebra / Logic,13,,
⊗,tensor product,Not in source,Linear and multilinear algebra,Algebra,13,,
s,Script inclusion,Not in source,Language Processing,Script Algebra,14,,
∩s,Script intersection,Not in source,Language Processing,Script Algebra,14,,
Us,Script unification,Not in source,Language Processing,Script Algebra,14,,
m,M-script inclusion,Not in source,Language Processing,M-script Algebra,14,,
∩m,M-script intersection,Not in source,Language Processing,M-script Algebra,14,,
Um,M-script unification,Not in source,Language Processing,M-script Algebra,14,,
σ(S),The scope of script S,Not in source,Language Processing,Model-theoretic Semantics,14,,
P(S),Probability that events described in the script take place,Not in source,Language Processing,Bayesian Learning,14,,
I(S),Information content of script S,Not in source,Language Processing,Bayesian Learning,14,,
!A,Trump node label,Not in source,Language Processing,M-scripts,14,,
?A,Variable identity or shared variable,Not in source,Language Processing,Script Algebra / Logic,14,,
≈,Approximately equal,Not in source,Language Processing,Algebraic Relations,14,,
Δ,The distinction or Laplacian operator in the Hilbert Space of Quality,Not in source,The Laplacian Mechanics of the Hilbert Space of Quality,Operators,15,,
C,The Collapse Operator in the 3-Character Glyph Compression framework,Not in source,Architecture of the Recursive Ontology Engine,Operators,15,,
ΔS,The change in entropy during recursive folding,Not in source,The Logic Tax and the Mechanics of Situated Meaning,Information Theory,15,,
∩,The intersection of sets,Not in source,Recursive Cycle 1,Set Theory,16,,
¬,Logical negation,Not in source,Recursive Cycle 1,Logic,16,,
ℝ,The set of real numbers,Not in source,The Cognitive Algebraic Ladder,Matrices / Algebra,16,,
ℂ,The set of complex numbers,Not in source,The Cognitive Algebraic Ladder,Algebra,16,,
ℍ,The set of quaternions,Not in source,The Cognitive Algebraic Ladder,Algebra,16,,
𝕆,The set of octonions,Not in source,The Cognitive Algebraic Ladder,Algebra,16,,
𝕊,The set of sedenions,Not in source,The Cognitive Algebraic Ladder,Algebra,16,,
𝕋,The set of trigintaduonions,Not in source,The Cognitive Algebraic Ladder,Algebra,16,,
Σ,Summation operator,Not in source,Egyptian Fraction Identity,Counting / Arithmetic,16,,
∇,Gradient or Nabla operator,Not in source,Formal Unified Stack Equation,Calculus,"16, 17",,
∫,Integral operator,Not in source,Formal Proof of Irreversibility,Calculus,"16, 17",,
∂,Partial derivative operator,Not in source,Operator Oscillation,Calculus,16,,
"a, b, c",Associator (measures non-associativity),Not in source,Torsion Faces,Algebra,16,,
μ,Least fixed point operator,Not in source,Collapse Echo Identity Law,Logic,16,,
ν,Greatest fixed point (unfold) operator,Not in source,Weaponized Unfolding,Logic,"16, 17",,
⦳,Anti-idempotent residue,Not in source,Fixed Point,Logic / Algebra,16,,
H^1,First cohomology group (gluing obstructions),Not in source,Resolving Gluing Obstructions,Topological Data Structures,16,,
1,Terminal object (singleton set),8,Not in source,Set Theory / Category Theory,18,,
0,Initial object (null set),8,Not in source,Set Theory / Category Theory,18,,
A × B,Product of two objects (Cartesian product),8,Not in source,Set Theory / Category Theory,18,,
A + B,Coproduct (sum) of two objects (disjoint union),8,Not in source,Set Theory / Category Theory,18,,
B^A,Exponential of objects (set of mappings from A to B),8,Not in source,Set Theory / Category Theory,18,,
x ∈ A,Elementhood / membership (x is an element of A),8,Not in source,Set Theory,18,,
N,Dedekind-Pierce object (natural numbers structure),8,Not in source,Set Theory / Arithmetic,18,,
s,Successor function (s: N → N),3,Not in source,Arithmetic / Function Theory,18,,
f ∘ g (or fg),Composition of mappings,8,Not in source,Function Theory,18,,
