Meta-Insight / Typology Process,Domain / System,Description,Core Mechanism,Application / Implication,Theoretical Alignment,Source,,
Compositionality,Natural Language Semantics,The meaning of a complex expression is a function of the meanings of its constituents and the rules used to combine them.,"Internalized grammar rules and structure-building functions (e.g., Function Application).",Enables speakers to produce and understand infinitely many novel expressions.,Internalized Grammar Theory; Montague Grammar.,1,,
Recursion / Definition by Closure,Formal Language / Mathematical Syntax,Building infinite sets from finite bases by repeatedly applying operations.,"Closure of a set K under a function f (e.g., F(n+1) = the mother of F(n)).",Proofs that natural languages contain infinite subsets of expressions despite finite vocabularies.,Set Theory; Principals of Induction.,1,,
Boolean Compounding (Polymorphism),Linguistic Semantics,"Connectives like 'and', 'or', and 'not' apply across many categories to form derived expressions in the same category.",Pointwise definitions in boolean lattices; greatest lower bounds and least upper bounds.,Provides a high-leverage understanding of coordination and negation across diverse syntactic structures.,Boolean Algebra; Categorial Grammar.,1,,
C-command,Generative Syntax,A structural relation in tree graphs where a node dominates its sister and all its sister's descendants.,Reflexive partial orders in tree graphs; asymmetric c-command relations.,Explains the distribution of reflexive pronouns and bound variables.,Government & Binding (GB) Theory; Binding Theory.,1,,
Structural Invariance / Automorphism,Mathematical Linguistics,Properties of a grammar that are fixed under bijections that preserve structure-building functions.,Syntactic automorphisms; fixed points of the symmetry group of a grammar.,Identifies 'logical' or 'structural' components versus 'lexical' or 'accidental' ones across diverse languages.,Bare Grammar; Algebraic Linguistics.,1,,
Generalized Quantifiers (GQs),Number Theory / Semantics,"NPs denote functions from property sets to truth values, rather than just simple entities.","Maps from P(E) into {T, F}; Accusative Extensions Condition.",Provides a unified logic for proper nouns and complex quantified phrases.,Generalized Quantifier Theory; First Order Logic extensions.,1,,
Monotonicity (Upward/Downward Entailing),Cognitive Science / Semantics,Functions that either respect or reverse the order relation in a boolean lattice.,Pointwise isotone/antitone mapping; set inclusion properties.,"Predicts the licensing of negative polarity items (e.g., 'ever') and explains inferential logic.",Ladusaw-Fauconnier Generalization.,1,,
Conservativity (CONS),Linguistic Universals,Determiners only care about the subset of the universe identified by their noun argument.,D(A)(B) = D(A)(A ∩ B); local semantic constraint.,A pervasive universal constraint on all natural language determiners.,Generalized Quantifier Theory.,1,,
Lambda Abstraction,Logic / Computational Semantics,A variable-binding operator used to create functions and handle scope ambiguities.,Lambda extraction; mapping of assignments (contexts) to function values.,Enables formal representation of wide-scope readings and complex predicate formation.,Type Theory; Lambda Calculus.,1,,
Chomsky Hierarchy (Regular vs. Context-Free),Formal Language Theory,Classification of languages based on the complexity of the grammar rules required to generate them.,Finite-state automata vs. phrase structure rules; center-embedding limits.,Demonstrates that natural languages (like English) are more complex than regular languages.,Automata Theory; Mathematical Linguistics.,1,,
Directed Reflection,Cognitive Science / Education,An approach to learning that focuses thinking on the abstract structural relationships between domain elements rather than just content acquisition.,Knowledge mapping and structuring to externalize internal conceptual models for visualization and communication.,Provides a means to overcome the 'unnatural' nature of academic concepts by forcing the explication of tacit relationships.,Ausubelian Constructivism; Cognitive Load Theory,2,,
