Term,Definitions,GPT Assistance
PLEASE TAKE THIS SURVEY:,https://asu.co1.qualtrics.com/jfe/form/SV_6ilZ8tvvFH7BRZk,
THESIS VIDEO:,A Prompting Dialogue | Advancing Human-AI Communication through Interdisciplinary Insights - YouTube | Made by https://www.linkedin.com/in/jonathankylehobson/,
https://chat.openai.com/g/g-Jf5jYxTRl-prompt-crafter,,
https://chat.openai.com/g/g-TcmtFAtUh-prompt-master,,
https://chat.openai.com/g/g-mW4xxm2uL-prompt-engineering-educator,,
Overarching Terms,,
AI-Human Research and Analysis,"Conducting in-depth studies on AI and human interaction, focusing on improving user experience (UX) and the overall efficacy of AI applications.",
AI-Human Technical Communication,"Leveraging knowledge to articulate complex AI concepts in a manner that is accessible to LLMs and a broad human audience, including stakeholders without a technical background.",
Alignment,Degree or process of adjusting a model to better reflect human preferences.,
Architecture,"The structure of a process parameters and their operations, excluding individual parameter values.",
Artificial Intelligence (AI),Fields of improving machine's processing to achieve useful outputs or specific systems built using these techniques. In addition this refers to machines or computers that simulate or duplicate human processes and cognition ability.,
Artificial General Intelligence (AGI or Strong AI),"Type of AI that possesses the ability to understand, learn, and apply knowledge across a wide range of tasks, at least as well as a human. It's akin to the versatile, multifaceted intelligence displayed by humans.",
Artificial Narrow Intelligence (ANI or Weak AI),Refers to AI systems that are designed and trained for a specific task. This is the most common type of AI in use today.,
Artificial Superintelligence (ASI),"Form of AI that not only mimics or understands human intelligence but significantly surpasses it. ASI would be capable of outperforming the best human minds across all fields, including scientific creativity, general wisdom, and social skills.",
Generative AI (GenAI),"Refers to any AI system that is designed to generate content such as images, videos, music, or even text.",
Human and AI Behavior,"Bridge that translates complex AI capabilities into actionable insights and user-friendly applications. In addition, this term refers to translating the complexities of human experiences and nuances to LLMs.",
Prompt Engineering and Development,Designing and refining prompts to effectively communicate with and guide AI behavior to promote pros and reduce cons. ,
Prompt Architect,"Next stage evolution for the term ""Prompt Engineering"" that acknowledges that the development of prompts and LLM communications is just as much an art as it is a science. A more inclusive term that pushes that there is a need for more diverse set of skills and thinking (such as english, psychology, philosophy, and etc..) in the area of computer programming and engineering.",
Waves of AI Prompting Evolutions,"Describe the development of artificial intelligence through three distinct phases. The First Wave focuses on rule-based systems with handcrafted knowledge, where AI operates within a structured framework of clear, predefined rules, yet lacks adaptability beyond its initial programming. The Second Wave introduces statistical learning, shifting towards systems like artificial neural networks that learn from data, improving with exposure but often missing clarity on decision-making processes. The Third Wave, or Contextual Adaptation, represents a fusion of the first two waves' strengths, aiming at systems that not only learn from vast datasets but also understand and reason within context, striving for AI that can act as trusted assistants through nuanced and flexible understanding. https://futurism.com/artificial-intelligence-tech-will-arrive-in-three-waves https://machinelearning.technicacuriosa.com/2017/03/19/a-darpa-perspective-on-artificial-intelligence/  See Waves of AI",
Prompt Development Techniques,,https://chat.openai.com/g/g-TcmtFAtUh-prompt-master
Prompt Architecture (Virtual Brain),The specific arrangement and connections of prompts and their strategies.,
CLEAR Path Forward Framework,"(Concise, Logical, Explicit, Adaptive, and Reflective) - An AI Prompt literacy framework designed to optimize interactions. https://www.sciencedirect.com/science/article/abs/pii/S0099133323000599",
CLEAR Prompting Method,"(Clarity, Length, Empathy, Actionability, Relevance) - An AI Prompt framework designed to optimize interactions. (Needs source)",
CLEAR Framework,"(Challenge, Limitation, Effect, Action, Result) - A framework to outline challenges, describe limitations, propose actions, and predict outcomes. https://www.linkedin.com/pulse/demystifying-prompt-engineering-unveiling-art-behind-effective",
SWOT Analysis,"(Strengths, Weaknesses, Opportunities, Threats) - A strategic planning framework for analyzing situations or decisions. https://www.mindtools.com/amtbj63/swot-analysis",
PAR Method,"(Problem, Action, Result) - A structure focusing on problem-solving scenarios. https://www.indeed.com/career-advice/interviewing/par-method",
AIDA Model,"(Attention, Interest, Desire, Action) - A marketing framework to create engaging content. https://www.siegemedia.com/creation/aida-model",
STAR Technique,"(Situation, Task, Action, Result) - Used in behavioral contexts to describe scenarios. https://www.themuse.com/advice/star-interview-method",
PEAS Framework,"(Performance measure, Environment, Actuators, Sensors) - Framework in AI systems design. https://www.analyticsvidhya.com/blog/2022/08/simplifying-ai-models-with-the-peas-representation-system",
RTF Framework,"R - Role T - Task F - Format The ""R-T-F"" prompt framework categorizes requests into Roles, Tasks, and Formats for clearer communication. This is the jack-of-all-trades prompt and can be used for most use cases, even non-work related ones.",
