Language/System,Preposition/Operator,Adjunction Type,Algebraic Ladder Rung,Structural Constant (Inferred),Entropy Measure,Torsion Effect,Source
HALIRA,$\Delta$  (Distinction),Initial Differentiation / Recursive,Real,$1$,Shannon Entropy / Distinction Entropy,Primordial boundaries / structural drift,"1, 2"
HALIRA,$\Xi$  (Recursion / Meta-frame),Recursive / Fixed-point,Complex / Quaternion,$1.618$  (Golden Ratio),Shannon (normalized) / Distinction Entropy,Telic recursion / Identity twist,"1, 2, 3"
HALIRA,$\Phi$  (Contradiction),Paraconsistent / Associative,Complex to Quaternion,$0.5$  /  $137$,Attention Vacuum Energy / Conflict Energy,Axiomatic friction / Semantic singularity,"1, 2, 3"
HALIRA,$\Omega$  (Terminal Stabilization),Terminal Stabilization / Closure,Octonion,$137$  (Fine Structure),Shannon's Perfect Coding Efficiency,Braid Sealing / Nullifold Residue,1
HALIRA,$dH$  (Metamorphic Boundary),Irreducible Recursive,Octonion,$\phi^{-1}$,Cohomological Gap / Epiplexity,Semantic Twist (Curvature),4
HALIRA,$L$  (Questioning),Left adjoint / free functor,Complex,$0.618$  ( $\phi^{-1}$ ),Distinction entropy,Adjunction Gap (torque),5
HALIRA,$U$  (Understanding),Right adjoint / forgetful functor,Real,$1$,Shannon entropy,Limitation / Coherence friction,5
HALIRA,$L$ -axis (fold),Recursive / iterative fold,Quaternion,$137$  (Fine Structure),Relational Information (IR),Chirality / Geometric Kink,5
HALIRA,Reverse ( $\leftarrow$ ),Inversion / counter-flow,Octonion,$\pi$  / Evasion index,Centropic / Null Residue,Torsion Singularity / Recoil,5
HALIRA,$\vdash\dashv\vdash$  (Triple-tack),Associative stabilization,Complex / Unit Circle,$1.618$  ( $\phi$ ),Stable Semantic Attractor,Fixed Point Attractor / Machine Cycle,5
HALIRA,Identity ( $id$ ),Consistent Basis,Real,$1$,Classically stable ( $dH C = 0$ ),Zero Torsion,4
HALIRA,$dH C = C$,First-Order Paradox (Recursive),Complex,$i$,Distinction Entropy,Self-referential torsion,4
HALIRA,$dH^2 = id$  (Involution),Meta-Paradox (Associative),Quaternion,$137$,Paradox Barcode Survival,Spacetime Torsion (Order 2),4
HALIRA,Torsion Flux,Contrarecursion,Octonion,$1.618$  ( $\phi$ ),Meaning residue / spectral torsion,Prime Singularities / Logic Friction,4
HALIRA,$\odot$  (Composition),Operadic,Octonion,$2.718$,Integration Density,Non-associative torsion / Jacobi anomaly,2
HALIRA,dilation/erosion,Galois connection / monotone,Real,$1.618$,Shannon,Geometric manifestation of logic friction,6
HALIRA,Associative Transition,Associative,Real to Complex,$137$,Logic Tax (Phase oscillation),$U(1)$  gauge connection stabilization,7
HALIRA,$G_2$  Torsion Operator,Non-associative,Octonion,$137.036$,Spectral Gap,$G_2$  Holonomy /  $U(1)$  fiber rotation,7
HALIRA / OFTM,Photonic Gradient ( $\nabla\Phi$ ),Core-Ring Transition,Quaternion to Octonion,$137$,Spectral Resonance,Phase-alignment / Field resolution,7
HALIRA / SITC,"$SO(2,4)$  Conformal",Co-inversion,Octonion,$137$,Topological Error Functional,Magnon Dispersion Splitting,8
English,qua,recursive / poset,Real,$1$,Distinction,Logic friction,6
English,on,recursive,Real,$1$,Shannon,Logical Friction,9
English,to,associative,Complex,$1.618$  (Golden Ratio),Distinction,Geometric Logic Friction,9
English,in,associative,Quaternion,$137$,Shannon,Spatial Torsion,9
English,above,recursive,Octonion,$2.718$  ( $e$ ),Distinction,Non-associative logic drag,9
English,if,conditional adjunct,Real,$1$,Shannon entropy,Logical Displacement,10
