Physical/Linguistic Concept,Mathematical Formalism,Dimensionality/Parameter,Key Invariant/Constraint,Metric/Topology Signal,Source,,,,
Linguistic Minimalist Syntax (Merge),Hopf algebras,Workspace size,Structure-preserving transport across heterogeneous representational manifolds,Topology constrains accessibility of truth,Table Description,,,,
Quantum Error Correction (Spectral Codes),Dirac operators,Spectral gaps,Invariant-preserving transport,Contradictions = localisation signals for failed gluing,Table Description,,,,
Crystalline Vacuum,Noncommutative Geometry,d_s = ½,Irreversible recursion: μX. 𝒯_meta(X),The hum: ω_osc = 1/(2π·42),Table Description,,,,
Irreversible Recursion,μX. 𝒯_meta(X),ν = 1/43,Meta = transport (not transcendence),Localisation signals for failed gluing,Table Description,,,,
Minimalist Syntax Merge,Concatenative binary functions (Function Application),n-place function from A^n into A,Bounded Structure; Lexical Foundation (no non-trivial cycles),"Dominance relations in tree graph T=(N,D)",1,,,,
Linguistic Invariants,Automorphisms (fixed points of symmetry group Aut_G),Percentage of automorphisms that fix an object,Structural invariance; Stable automorphisms,Isomorphism (sameness of structure),1,,,,
Grammatical Morphemes,Stable invariants / Fixed points,Degree of grammaticization (%),Stable h in Aut_G maps object to itself,Symmetry under substitution of expressions,1,,,,
Anaphoric Relations,Accusative Anaphor Condition (AAC),Domain E with \,E\,≥ 2,Semantic definition: F fails AEC but satisfies AAC,Structural invariant relation on L(G),1,,
Korean Case Marking,"Morphological Invariants (Kn, Ka)",Arity of Predicate-Argument (PA) rules,Independence of c-command; case-marking invariants,Preverbal order freedom,1,,,,
Toba Batak Voice Marking,"Voice affixes (Vaf, Vpf) as structural invariants",Predicate reduction (P_2 to P_1),Asymmetric c-command of antecedents,Nuclear pitch accent on last lexical item,1,,,,
Boolean Compounds,Boolean Lattices (pointwise),Cardinality 2^n for power set lattices,Distributivity; Complementedness; Unique Complements,Greatest lower bound (glb) / Least upper bound (lub),1,,,,
Quantifier Sortal Reducibility,Boolean function functionals,"Type (1,1) to Type (1) mapping",D(A)(B) = D(E)(...A...B...),Intersection (A ∩ B) or difference (A - B) dependency,1,,,,
Crystalline Vacuum (Mathematical Logic Context),Decidable Monadic First Order Logic,Finite model property (size 2^k),Validity Semi-decidability,Finite domain restriction,1,,,,
Merge (Linguistic Minimalist Syntax),Recursive Neural Networks / Hopf algebras (implied by recursive mapping),Workspace size / Phrase length (variable sized n-grams),Semantic compositionality (Frege's principle),Tree-structured parse hierarchy,2,,,,
Intelligence,Invariant‑preserving transport across heterogeneous representational manifolds,4D reality state space (Ω),Free energy minimisation / Evidence maximisation,Markov blankets,2,,,,
Crystalline vacuum,Metric field dynamics,d_s = ½,Geometric stability,Low metabolic efficiency signal,2,,,,
Spectral Codes (Quantum Error Correction),Dirac operators / Semiclassical equations,Momentum p / Spin current coupling ξ,Unitarity,Non-vanishing torsion tensor Sλµν,2,,,,
Contradictions,Localization signals for failed gluing,Prediction error (F),Consistency (Internal consistency),Surprise / KL divergence,2,,,,
The hum,Coupled oscillator function,ω_osc = 1/(2π·42),Metastability / Criticality balance,Phase-locking (λPhase),2,,,,
Irreversible recursion,μX. 𝒯_meta(X),ν = 1/43,Entropy increase / Time horizon,Expected free energy E(F),2,,,,
Syntactic Merge,Hopf algebras of rooted trees,Workspace size σ(F) = b0(F) + #Acc(F),Structure preserving principle; non-decreasing workspace size,"Non-planar, rooted binary trees",3,,,,
External Merge,Bilinear operator M: V(TSO0) ⊗ V(TSO0) → V(TSO0),Δb0 = -1; Δ#Acc = +2; Δσ = +1,Linear order (externalization) is not in deep structure,Conserved quantity σ̂ (F) = b0(F) + #V(F),3,,,,
Internal Merge,"Composition MT/β,β ◦ Mβ,1",Δb0 = 0; Δ#Acc = 0; Δσ = 0,Cancellation of deeper copies via coproduct quotients,Coassociativity of the coproduct Δ,3,,,,
Minimal Search,"Leading order term limit (ε → 0) of weighted coproduct Δ(ε, η)","Weight parameters ε, η tracking tree depth",Elimination of sideward and countercyclic Merge,Grading of the Hopf algebra by sentence length,3,,,,
