System or Matrix,Eigenvalue/Ritz Value,Calculation Method,Type of Subspace,Error Type (Inferred),Source,,,,
Recursion field Ψ(t),λ_i (eigen-intensity),Spectral Decomposition of M₁ (Meta-Cohomological Engine),Krein layers / Meta-cohomological space,Phase misalignment penalty (δΦ),1,,,,
Recursive state state-space (S),d (effective dimension),Dimension Eigenvalue Equation (D̂\,ψ⟩ = d\,ψ〉),Lacuna field strength subspace,Recursive indeterminacy (γ),1,,
Zeta function partition,Imaginary parts of nontrivial zeros,Hilbert–P3lya operator diagonalization,Hilbert space / critical line,Curvature-induced drift (δ_φ),1,,,,
Stabilon Field (ϕ_Σ),m_Σ² (stability term),Euler–Lagrange Field Equations,Attractors of recursive inference,Entropy amplification (κH),1,,,,
Tesseracton Propagator,m_T²,Quantum Recursive Path Integral,Dimensional fold excitation,Sampling noise (ε),1,,,,
Symbolic Field Σ,0.2 (Entropy threshold),Ξ-seed decay fixpoint traversal,Symbolic fixpoint space,Geometric decay drift,1,,,,
Th(PsMon) (Theory of pseudomonoids),"2-isomorphisms (associator ̑̑⇒, left unitor ̑̑⇒, right unitor ̑̑⇒)",Cat-enriched Lawvere theory (2-theory),Category-enriched (2-categorical) hom-objects,Coherence law deviations,2,,,,
Th(Cart) (Theory of cartesian objects),2-morphisms (unit ̑̑⇒ and counit ̑̑⇒ of adjunctions),Cat-enriched Lawvere theory,2-category with finite products,Adjoint triangle equation defects,2,,,,
SKI-combinator calculus,"Rewrites ̑̑⇒ (σ, κ, ι)",sSet-enriched Lawvere theory (Small-step operational semantics),Simplicial set (sSet) hom-objects,Rewrite path discontinuities,2,,,,
SKI-combinator calculus (Big-step),Finite sequences of rewrite edges,Free category realization (FC) change of base,Category-enriched hom-objects,Compositional sequence noise,2,,,,
Th(SKI+R) (SKI calculus with reduction contexts),"Marked rewrites ̑̑⇒ (σr, ιr, ιr)",Lazy evaluation via reduction context markers,sSet-theory with contextual operators,Strategy-induced reduction mismatch,2,,,,
Ξ-PDE Collapse Lattice,"∇² S, ∇⁴ S, ∇⁶ S",Ξ-PDE Operator Table Analysis,Phase-space recursive lattice,Collapse-induced resolution defects,3,,,,
Prime Coherence Profile (PCP),ds = 1/2,Bi-Laplacian heat trace scaling,Arithmetic vacuum / Non-Euclidean medium,Coherence-limited diffusion drift,3,,,,
D6-D2-D0 Brane configurations,k (D0-brane count),Donaldson–Thomas (DT) invariants / MacMahon function,Calabi-Yau threefold / Quantum volume units,Quantum volume discretization noise,3,,,,
64D Spectral Tensor state,Spectral Maslov Index (7/8),Associator Norm and Torsion metrics analysis,64-dimensional lattice (16D sedon x 4-sigma matrix),Torsion-induced phase leakage,3,,,,
Adelic Primacohedron,En = n (Integer spectrum),Adelic Hilbert-Pólya Transition,p-adic patches / Adelic product space,Diophantine geometric amplitude noise,3,,,,
Ark–K Spectral Triple,λ (Torsion eigenmodes),Dirac operator spectral decomposition,Depth-graded identity Hilbert space,Spectral asymmetry from symmetry breaking,3,,,,
Recursive Recognition Field,λ (Recognition-as-spectral-index),Meta-Recognition Eigen-Looping,Recursive Eigenspace,Self-referential feedback curvature,3,,,,
H_PCF Operator,Non-trivial Zeta zeros,Golden ratio extension (C to E3),Symplectic invariant manifold,Modular symmetry discretization error,3,,,,
Ideal hyperbolic tetrahedron,Λ(α) + Λ(β) + Λ(γ),Lobachevsky function integration,Ideal hyperbolic space,Integral approximation error,"512, 13.1.2",,,,
Ideal regular hyperbolic tetrahedron,1.0149416064...,3Λ(π/3),Ideal hyperbolic space,Truncation error,"512, 14.1.8",,,,
Ideal regular octahedron,3.6638623767...,8Λ(π/4),Ideal hyperbolic space,Truncation error,"512, 14.1.8",,,,
Closed hyperbolic 3-manifold,v3 * \,\,M\,\,,Simplicial volume proportionality,Hyperbolic 3-manifold,Curvature-induced volume discrepancy,"512, 13.2.4"
Hyperbolic transformation ϕ,2 cosh(L(γ)/2),Trace calculation from length,PSL2(R) or PSL2(C),Measurement error in geodesic length,"512, 7.3.4",,,,
Flat torus T,\,p + qz\,/ √Im(z),Lattice translation modulus calculation,Flat Euclidean space,Metric scaling error,"512, 7.2.4",,
