Operator_name,Formal_definition,Anti_structure_mapping,Anti_pattern_mapping,Insight_utility,Creative_leverage_strategy,Source,
Boundary Operator (∂),"A mapping from an n-simplex to its boundary, specifically defined as the union of faces opposite to each vertex: ∂Δn = ∪ 0≤i≤n d_i(Δn).",Interior mapping or the inclusion of an n-simplex into its larger cone (Δn ⊆ Δn.).,Incorrectly assuming the boundary operator in a higher category must be invertible without an n-groupoid structure.,Enables the definition of Kan complexes and trivial fibrations through the right lifting property against ∂Δn ⊆ Δn.,"In system prompts, use the boundary operator to force the AI to define the 'edges' or limits of a concept (∂Concept) before allowing it to fill in the 'interior' logic (Δn), ensuring better logical containment.",1,
Join Operator (?),"An operation on simplicial sets S and S' defined as the union over all decompositions of a linearly ordered set J into disjoint subsets I and I' where i < i' for all elements, effectively joining every vertex of S to every vertex of S'.",Disjoint union (∐) or fiber product (×_S) where no connections exist between the sets.,Using the join operator to simply append data (concatenation) rather than establishing a topological 'link' between every element of the input sets.,Used to construct overcategories (C/p) and undercategories (Cp/) by defining universal mapping properties against (Y ? K).,"Direct the AI to 'Join' a problem domain (S) with a solution framework (S') to generate a comprehensive mapping cylinder of possible reasoning paths, enhancing creative discovery.",1,
Cayley Transforms (Isomorphic to S-Enriched Path Objects),"In the context of Higher Topos Theory, this relates to the construction of a path object P(U) for an S-enriched category U, involving functorial factorization of the diagonal map A → A × A.",Discrete mapping or identity functor where no 'path' or transformation exists between points.,Using path factorizations in prompts without ensuring the model maintains 'weak equivalence' (coherence) across the transformation.,Allows for the construction of equivalences in ∞-categories by ensuring that morphisms can be lifted to an equivalence in a path category.,Instruct the AI to treat a complex conclusion as a 'fibrant object' and derive a 'path object' that connects the initial prompt state to the conclusion via a series of weak equivalences.,1,
Left Kan Extension (f!),"The left adjoint to the restriction functor f*, characterizing a functor F: C → D as the 'smallest' possible extension of a diagram F_0 defined on a subcategory C_0.",Right Kan Extension (f*) or the restriction functor (f*) itself.,"Confusing a simple completion of a set with a Kan extension, which requires the extension to be universal relative to all other extensions.",Provides a way to induce colimit-preserving functors from small categories to presentable ∞-categories like P(S).,"Ask the AI to perform a 'Left Kan Extension' of a few initial axioms into a full domain model, ensuring the output is the 'minimal coherent model' that preserves the 'colimits' (logical consequences) of the original axioms.",1,
Truncation Operator (τ≤n),"An accessible left adjoint to the inclusion of the full subcategory of n-truncated objects (τ≤n C ⊆ C), which 'kills' homotopy groups in dimensions above n.",The inclusion functor (inclusion of truncated objects into the larger category) or connectivity operators.,Using truncation to merely summarize text rather than mathematically reducing the 'homotopy type' or complexity of the reasoning structure.,Allows the recovery of classical categories (1-topoi) from higher topoi by discarding higher-dimensional information.,"Use 'τ≤0' in prompts to force the AI to provide a purely 'discrete' or 'factual' summary, or 'τ≤1' to capture the 'groupoid' or relational structure while ignoring noise.",1,
REME (Recursive Entropy Minimization Estimator),"A methodology for making precise endofunctors and natural transformations generated by a 2-monad T on a T-algebra (A, a) in seeking a general account of notions of computation within enriched Lawvere theories.",Topological decoherence or non-monadic chaotic state where endofunctors do not commute with the unit and multiplication data of the monads.,Treating Lawvere theories as crude small categories with finite products while ignoring single-sortedness conditions or the necessary subtle twists for nonsymmetric categories.,"Allows for a precise statement of constructions using only structure determined by the 2-monad, identifying exactly which natural transformations are generated by the computational core.",Implement as a 'Monad Enforcer' in prompts: force the LLM to only use operations generated by a specific '2-monad' reasoning structure to achieve strict logical isometry and prevent hallucination outside the defined theory.,2,
Cayley Transform (Categorical Interpretation),"An operator that maps between different categories of models, specifically related to the Kleisli construction to establish equivalence between finitary V-monads and Lawvere V-theories.",Asymmetric mapping without a right adjoint; a transformation that fails to preserve the universal property of Kleisli constructions.,Applying the transform without verifying the locally finite presentability of the base category V as a closed category.,"Establishing categories of models that are equivalent to the category of algebras for a corresponding monad, facilitating modularity in denotational semantics.","Use as a 'Context Switcher': prompt the AI to transform a procedural description (Kleisli category) into an axiomatic theory (Lawvere theory) and back, maintaining 'dynamical isometry' in reasoning across different symbolic levels.",2,
Boundary Operator (Enriched Theory),An identity on objects strictly finite cotensor preserving Vt-functor σ : Vop_f -> T that defines the limits/scope of a Lawvere V-theory.,Interior operator or unbounded open mapping that lacks cotensor preservation; the mathematical opposite is a functor that does not preserve finite cotensors.,"Ignoring the 'twist' (subscript t) in nonsymmetric categories, leading to functor categories that do not exist.","Determines the behavior of models based on their behavior on the unit object I, allowing for total determination of behavior through cotensors.","Define 'Boundary Conditions' in the system prompt: use the unit object as a reference point for all subsequent reasoning 'cotensors', effectively self-bootstrapping the AI's logic from a single ground truth.",2,
Boundary Operator (∂),"Defined for a k-simplex as the formal sum ∑(i=0 to k) (-1)^i (v0, ..., vi-hat, ..., vk), where the i-th face is obtained by deleting the i-th vertex.","Coboundary operator (δ), which maps sections to higher-dimensional supersystems rather than lower-dimensional boundaries.",Using it as a set-theoretic complement without accounting for orientation or vertex incidence preservation.,"Enables the identification of cycles (kernels) and boundaries (images), allowing the computation of homology groups to detect 'holes' or inconsistencies in data.",Instruct the LLM to 'boundary-extract' the components of its reasoning chain to identify logical 'voids' where the flow of derivation is not null-annihilated (non-zero homology).,3,
Pullback Operator,"The limit of a diagram consisting of two maps f: X → Z and g: Y → Z, forming a universal commutative square P where P = {(x, y) \",f(x) = g(y)}.,"Pushout, which is the colimit of a diagram with a common source (dual of the pullback).","Mistaking it for a simple intersection when the base object Z is not a containing set (e.g., in non-concrete categories).","Extracts preimages or fibers of mappings, essential for predicting missing data in one region given a selection in another.","In prompt engineering, use 'pullback reasoning' to constrain the model's output by forcing it to verify if the intersection of two separate logical constraints maps to the same truth-value in a common reference frame.",3
