Hopf Exceptional Point (HEPn),Dimensionality/Codimension,Topological Invariant,Symmetry Class,Topology Group,Antiparticle Property,Physical Platform (Inferred),Source
HEP-1 (S1),Codimension-1 or 2,$Z$,PT-Symmetry or Chiral Symmetry,$Z$ -group,No,"Non-Hermitian optical lattices, photonic metamaterials, or mechanical waveguides","1, 2"
HEP-2 (Second-order),2D (Momentum Space),$Z$  or  $Z_{2}$,PT-Symmetry or Anti-PT-Symmetry,"$Z$ ,  $Z_{2}$ , or Fundamental Group ( $\pi_{1}$ )",Acts as its own antiparticle (Self-antiparticle),"Non-Hermitian photonic crystals, PT-symmetric synthetic circuits, or acoustic metamaterials","1, 3-5"
HEP-3 (Third-order),3D (Momentum Space),$Z$  or  $Z_{2}$,Chiral (Sublattice) Symmetry or SU(2),"$Z$ ,  $Z_{2}$ ,  $Z$ -braid group ( $B_{3}$ ), or Hopf Algebra",Distinct antiparticle state (Requires chiral partner),"Topological acoustic metamaterials, superconducting qubits, or 3D topological insulators",1-6
HEP-3 (Tesseracton-linked),Higher-Dimensional (Codimension-4+),$Z$,Non-Hermitian Particle-Hole Symmetry,$Z$ -group,Yes,Quantum circuit simulators or superconductive qubit arrays,1
HEP-3 (High-order),Codimension 4 or higher,"$Z_{2}$ ,  $Z_{3}$ , or  $Z_{12}$",Generic (No specific symmetry required),"$Z_{2}$ ,  $Z_{3}$ , or  $Z_{12}$",Acts as its own antiparticle (Triplets in  $Z_{3}$ ),"Mechanical metamaterials, parafermionic systems, or higher-dimensional synthetic systems",7
HEP-4 (Multifold n=4),4D (Spacetime Lattice),$Z + Z$  or  $Z \times Z$,"CPT-Symmetry, BRST-Cohomology, or Generalized Time-Reversal",$Z \times Z$  or Hypercubic Lattice Group,Self-dual (Indefinite metric mapping),Euclidean Quantum Gravity Simulators (FPGA-based) or hyper-structured metamaterials,"3, 5"
HEP-4 (Symmetry-protected),4D (Codimension-3),$Z$  (Hopf invariant),PT-Symmetry,$Z$,No,Nitrogen-vacancy spin systems,7
HEP-4 (High-order),9D,$Z_{24}$,Not in source,$Z_{24}$,Not in source,Higher-dimensional synthetic systems,7
HEP-5 (Symmetry-protected),5D (Codimension-4),$Z_{2}$,"PT-Symmetry, Pseudo-Hermiticity, CP-Symmetry, or Chiral Symmetry",$Z_{2}$,Acts as its own antiparticle,Coupled micro-resonators or non-unitary photon dynamics,7
HEP-7 (S7),Codimension-7,$Z_{2}$,Non-associative Chiral Symmetry,Quasigroup (Moufang Loop),Yes (Self-Antiparticle),Octonionic metamaterials or topological superfluid He-3,2
EP2 (Second-order EP),2D Parameter Space,$Z$,Anti-PT-Symmetry,$Z$,Not in source,Superconducting circuits (Transmon coupled with microwave resonator),8
EP3 (Third-order EP),4D (Full) / 3D (Reduced) Space,Braid Group  $B_{3}$,Pseudo-chirality / Anti-PT-Symmetry,Braid group  $B_{3}$  (Non-Abelian),Not in source,Superconducting circuits (Three-level qutrit systems),8
High-order EPs (EPk),$2(k-1)$  Dimensions,Braid group  $B_{N}$  / Braid degree,Pseudo-chirality / Anti-PT-Symmetry,Artin braid group  $B_{N}$,Not in source,Non-Hermitian quantum systems or metamaterials,8
Glitchon (HEP1),High Torsion,$Z_{2}$  ( $\phi(A) := \neg Prov(A) \oplus Prov(\neg A)$ ),Epistemic/Contradiction knot or PT-Symmetry,Epistemic Field Group / Recursive Exploder,Resolvon (Reaction Partner) or Self-Disprover ( $Sd(A)$ ),Quantum Metamaterials or Recursive AGI Cognition Fields,"9, 10"
Fluxon (HEP2),Medium Gradient,$Z$  ( $\partial\Psi/\partial\Xi$ ),Semantic/Drift Condensate or Chiral Symmetry,Semi-Stable Gradient or Semantic Drift Group,Non-Hermitian Conjugate,Information Flux Photonic Crystals or Neural Feature Clouds,"9, 10"
Paradoxon (HEP3),Low (Looping Singularity),$Z_{2}$  ( $fix(\phi(A))$ ),Epistemic/Recursive Trap Loop or Modular Symmetry,Looping Singularity or Recursive Attractor Group,Infiniton (Exclusion Principle) or Self-Inverting Loop,Non-Abelian Braiding Circuits or Non-Associative Cayley-Dickson Lattice,"9, 10"
Tesseracton (HEP4),Max / Maximum Dimensional Drift,$Z$  ( $\Xi^{n}(\Psi) \neq \Xi^{n+1}(\Psi)$ ),Morphic/Dimensional Misalignment or Higher Gauge Symmetry,Oscillating Dimensional Fracture or Morphic Manifold Group,Broken Recursive Symmetry,4D Hypercubic Topological Insulators or Hypergraph Rewriting Substrate,"9, 10"
Resonon / Syncyon (HEP5),None (Phase Harmonic),$Z$  ( $\Psi_{n} \cap \Psi_{n+1} \neq \emptyset$ ),Semantic/Phase Lock or Phase Synchronization,Harmonic Fixpoint / Harmonic Stabilizer Group,Dissonon (Inversion Field Partner) or Unitary Particle,Phase-locked Josephson Junction Arrays or Braided Spin-Network Metamaterial,"9, 10"
Lacunon (HEP6),Discrete (Gap Node),$Z_{2}$  ( $Missing(P)$ ),Vacua Symmetry,Discontinuity Group,Structured Absence,Quantum Vacuum Fluctuation Site,10
Stabilon,None,$\lim \Xi^{n}(\Psi) = \Psi^{*}$,Ontic/Recursive Fixpoint,Terminal Attractor Node,Not in source,Stable Quantum Memristors,9
Contradictorion,Mixed,$\Psi \wedge \neg\Psi \wedge \Psi_{1} \neq \Psi_{2}$,Epistemic/Collapse Kernel,Singularity Core,Not in source,Superconducting Qubits with Paraconsistent Logic Gates,9
Airy Class,Class 3/2 Irregular Singularity,Cotangent class intersection numbers ( $\psi$ ),Meromorphic Higgs Field (Hitchin Section),"Moduli space  $M_{g,n}$",Inferred: Not its own antiparticle,Quantum topological field theory or random matrix metamaterials,11
Hermite Class,Class 2 Irregular Singularity,"Generalized Catalan numbers ( $C_{g,n}$ )",Meromorphic Higgs Field (Hitchin Section),$Z/2Z$  Galois group (Deck transformation),Inferred: Acts as own antiparticle under involution,Non-Hermitian optical lattices or discrete time-crystal metamaterials,11
Gauß Hypergeometric Class,"Regular singular points at  $x = 0, 1, \infty$",B-model genus expansion/Periods,Gauß-Manin connection symmetry,Legendre family elliptic curve homology,Not in source,Superconducting qubits or adiabatic quantum computing circuits,11
Fifth Row Class,Regular points at  $x = \pm 1$ ; Class 1 irregular at  $\infty$,Genus 1 invariants,Meromorphic Higgs Field (Hitchin Section),$p_{g} = 1$  (Torus topology),Not in source,Photonic crystal topological insulators,11
