title,url,folder_path
Programming paradigm,https://en.wikipedia.org/wiki/Programming_paradigm,Bookmarks bar / AGI / Category:Programming_paradigms
Array programming,https://en.wikipedia.org/wiki/Array_programming,Bookmarks bar / AGI / Category:Programming_paradigms
Aspect-oriented programming,https://en.wikipedia.org/wiki/Aspect-oriented_programming,Bookmarks bar / AGI / Category:Programming_paradigms
Attribute-oriented programming,https://en.wikipedia.org/wiki/Attribute-oriented_programming,Bookmarks bar / AGI / Category:Programming_paradigms
Automata-based programming,https://en.wikipedia.org/wiki/Automata-based_programming,Bookmarks bar / AGI / Category:Programming_paradigms
Automata-based programming (Shalyto's approach),https://en.wikipedia.org/wiki/Automata-based_programming_(Shalyto's_approach),Bookmarks bar / AGI / Category:Programming_paradigms
Automatic mutual exclusion,https://en.wikipedia.org/wiki/Automatic_mutual_exclusion,Bookmarks bar / AGI / Category:Programming_paradigms
Automatic programming,https://en.wikipedia.org/wiki/Automatic_programming,Bookmarks bar / AGI / Category:Programming_paradigms
Bayesian program synthesis,https://en.wikipedia.org/wiki/Bayesian_program_synthesis,Bookmarks bar / AGI / Category:Programming_paradigms
Choreographic programming,https://en.wikipedia.org/wiki/Choreographic_programming,Bookmarks bar / AGI / Category:Programming_paradigms
Concurrent constraint logic programming,https://en.wikipedia.org/wiki/Concurrent_constraint_logic_programming,Bookmarks bar / AGI / Category:Programming_paradigms
Concurrent logic programming,https://en.wikipedia.org/wiki/Concurrent_logic_programming,Bookmarks bar / AGI / Category:Programming_paradigms
Constraint programming,https://en.wikipedia.org/wiki/Constraint_programming,Bookmarks bar / AGI / Category:Programming_paradigms
Data-driven programming,https://en.wikipedia.org/wiki/Data-driven_programming,Bookmarks bar / AGI / Category:Programming_paradigms
Data-oriented design,https://en.wikipedia.org/wiki/Data-oriented_design,Bookmarks bar / AGI / Category:Programming_paradigms
Dataflow programming,https://en.wikipedia.org/wiki/Dataflow_programming,Bookmarks bar / AGI / Category:Programming_paradigms
Declarative programming,https://en.wikipedia.org/wiki/Declarative_programming,Bookmarks bar / AGI / Category:Programming_paradigms
Defensive programming,https://en.wikipedia.org/wiki/Defensive_programming,Bookmarks bar / AGI / Category:Programming_paradigms
Dependently typed programming,https://en.wikipedia.org/wiki/Dependently_typed_programming,Bookmarks bar / AGI / Category:Programming_paradigms
Design by contract,https://en.wikipedia.org/wiki/Design_by_contract,Bookmarks bar / AGI / Category:Programming_paradigms
