t,R(t)
0,43.61593374
0.1,44.72007636
0.2,45.85217048
0.3,47.0129237
0.4,48.20306153
0.5,49.42332784
0.6,50.67448535
0.7,51.95731605
0.8,53.27262177
0.9,54.62122461
1,56.00396749
1.1,57.42171468
1.2,58.87535231
1.3,60.36578895
1.4,61.89395617
1.5,63.46080913
1.6,65.06732716
1.7,66.71451439
1.8,68.40340036
1.9,70.13504069
2,71.9105177
2.1,73.73094112
2.2,75.59744878
2.3,77.51120731
2.4,79.47341286
2.5,81.48529189
2.6,83.54810187
2.7,85.66313214
2.8,87.83170465
2.9,90.05517484
3,92.33493245
3.1,94.67240239
3.2,97.06904567
3.3,99.52636026
3.4,102.04588207
3.5,104.62918587
3.6,107.27788632
3.7,109.99363894
3.8,112.77814117
3.9,115.6331334
4,118.56040011
4.1,121.56177093
4.2,124.63912181
4.3,127.7943762
4.4,131.02950624
4.5,134.34653398
4.6,137.74753268
4.7,141.23462807
4.8,144.80999971
4.9,148.4758823
5,152.23456716
5.1,156.08840357
5.2,160.03980032
5.3,164.09122716
5.4,168.24521635
5.5,172.50436428
5.6,176.87133305
5.7,181.34885216
5.8,185.93972021
5.9,190.64680664
6,195.47305353
6.1,200.42147744
6.2,205.4951713
6.3,210.69730632
6.4,216.03113403
6.5,221.49998822
6.6,227.10728712
6.7,232.85653547
6.8,238.75132673
6.9,244.79534534
7,250.99236901
7.1,257.34627108
7.2,263.86102295
7.3,270.54069655
7.4,277.38946689
7.5,284.41161467
7.6,291.61152898
7.7,298.99370998
7.8,306.56277178
7.9,314.3234453
8,322.2805812
8.1,330.43915296
8.2,338.80425994
8.3,347.38113062
8.4,356.1751258
8.5,365.19174204
8.6,374.43661501
8.7,383.91552304
8.8,393.63439078
8.9,403.59929283
9,413.81645757
9.1,424.29227107
9.2,435.03328105
9.3,446.04620099
9.4,457.33791432
9.5,468.91547875
9.6,480.78613061
9.7,492.95728945
9.8,505.43656265
9.9,518.23175015
10,531.35084936
10.1,544.80206015
10.2,558.59378997
10.3,572.73465908
10.4,587.23350601
10.5,602.09939299
10.6,617.34161169
10.7,632.96968899
10.8,648.99339296
10.9,665.42273892
11,682.26799576
11.1,699.5396923
11.2,717.24862392
11.3,735.40585928
11.4,754.02274725
11.5,773.11092397
11.6,792.68232019
11.7,812.74916866
11.8,833.32401182
11.9,854.41970962
12,876.04944755
12.1,898.2267449
12.2,920.9654632
12.3,944.2798149
12.4,968.18437222
12.5,992.6940763
12.6,1017.82424648
12.7,1043.59058995
12.8,1070.00921152
12.9,1097.09662367
13,1124.86975692
13.1,1153.34597039
13.2,1182.54306264
13.3,1212.4792828
13.4,1243.17334197
13.5,1274.64442496
13.6,1306.9122022
13.7,1339.99684212
13.8,1373.91902368
13.9,1408.69994935
14,1444.36135835
14.1,1480.92554022
14.2,1518.41534876
14.3,1556.85421632
14.4,1596.26616844
14.5,1636.67583889
14.6,1678.10848501
14.7,1720.59000356
14.8,1764.14694687
14.9,1808.80653946
15,1854.59669501
15.1,1901.54603387
15.2,1949.6839009
15.3,1999.04038383
15.4,2049.64633208
15.5,2101.53337601
15.6,2154.73394671
15.7,2209.28129627
15.8,2265.20951856
15.9,2322.55357053
16,2381.34929409
16.1,2441.63343849
16.2,2503.44368326
16.3,2566.81866182
16.4,2631.79798561
16.5,2698.42226882
16.6,2766.73315378
16.7,2836.77333702
16.8,2908.58659595
16.9,2982.21781618
17,3057.71301963
17.1,3135.11939325
17.2,3214.48531855
17.3,3295.86040181
17.4,3379.29550512
17.5,3464.84277811
17.6,3552.55569064
17.7,3642.48906612
17.8,3734.69911584
17.9,3829.24347408
18,3926.18123414
18.1,4025.57298528
18.2,4127.48085059
18.3,4231.96852578
18.4,4339.10131907
18.5,4448.94619193
18.6,4561.57180098
18.7,4677.0485409
18.8,4795.44858842
18.9,4916.8459474
19,5041.31649516
19.1,5168.93802984
19.2,5299.79031904
19.3,5433.95514973
19.4,5571.51637926
19.5,5712.55998791
19.6,5857.17413251
