Characteristic Name,Conceptual Domain,Algebraic/Logical Basis,Recursive Depth (RDD) (Inferred),Entropy/Stability Operator,Physical Manifestation,Source,,,,
Infinity-Category (Quasi-category),Higher Category Theory,Weak Kan condition on simplicial sets; extension property for inner horns Λnk for 0 < k < n,Level 1,Inner horn inclusions (Λni ⊆ Δn),Inferred as the underlying logical structure of homotopy types in physical space-time models,1,,,,
Infinity-Topos,Higher Topos Theory,Accessible left exact localization of a presheaf ∞-category; satisfies higher analogues of Giraud’s axioms,Level 3+,Left exact localization functor (L: P(C) → X),Inferred as a universe for doing non-abelian homotopy theory or generalized space-time topology,1,,,,
Kan Fibration,Homotopy Theory,Right lifting property with respect to all horn inclusions Λni ⊆ Δn (0 ≤ i ≤ n),Level 1,Boundary operator of Δn and Horn inclusions,Inferred as fiber bundles or gauge transformations in field theory,1,,,,
Proper Base Change,Topology / Topos Theory,Left adjointability of push-pull transformations in commutative diagrams of ∞-topoi,Level 2,Push-pull transformation (γ: q!p* → p'*q'!),Stability of sheaf-theoretic invariants under proper geometric projections,1,,,,
Effective Groupoid Object,Internal Logic / Higher Topos,Simplicial object where the Čech nerve is a colimit diagram,Level 2,Geometric realization functor (colimit over N(Δ)op),Inferred as the emergence of global structures from local equivalence relations,1,,,,
Homotopy Dimension,Dimension Theory,Stability of n-connective objects admitting global sections 1X → U,Level 1,n-truncation operator (τ≤n),Covering dimension of paracompact spaces or topological manifolds,1,,,,
Yoneda Lemma (Infinity-categorical),Categorical Logic,Fully faithful embedding j: K → P(K) defined via mapping spaces,Level 1,"Corepresentable functor mapping (MapC(•, C))",Inferred as the representation of physical states as observers/probes,1,,,,
Sifted Colimit,Algebraic Structures,Colimits indexed by a simplicial set K where the diagonal K → K × K is cofinal,Level 2,Diagonal cofinality map,Inferred as the convergence of algebraic structures like groups or rings,1,,,,
Enriched Lawvere Theory,Category Theory / Universal Algebra,Small Vt-category with finite cotensors and identity-on-objects functor,Level 1 (Relational structure on objects),Finite cotensor preservation (Stability under reindexing),Categorical models of first-order effectful programming and computational states,2,,,,
Finitary V-monad,Computation Theory / Algebraic Logic,V-functor T with unit η: 1 → T and multiplication μ: T² → T satisfying monad axioms,Level 2 (Self-referential algebraic structure),Filtered colimit preservation (Finitariness as stability under growth),Notions of computation including side-effects and interactive I/O in software systems,2,,,,
Bifree Algebra,Domain Theory,Initial algebra whose inverse is a final coalgebra,Level 3+ (Fixed-point recursive closure),Algebraic compactness (Limit-colimit coincidence),Self-referential data structures and recursive function termination in physical memory,2,,,,
Traced Monoidal Category,Mathematical Physics / Logic,"Natural family of trace operators Tr: T(A⊗X, B⊗X) → T(A, B)",Level 2 (Cyclic feedback loops),Yanking and sliding axioms (Boundary stability operators),"Spacetime torsion, quantum circuits with feedback, and knot invariants",2,,,,
Frobenius Monoid,Quantum Information / Topology,"Simultaneous monoid and comonoid satisfying (x(1), x(2)y) = (xy(1), y(2))",Level 1 (Compositional invariant),Sweedler notation gradients / Diagonal-codiagonal balance,Topological deformations in quantum field theory and chemical reaction networks,2,,,,
Schreier-Mac Lane Extension,Group Theory / Homological Algebra,Exact sequence mapping group kernels to automorphism quotients,Level 2 (Structural nesting),Normalization operator jX (Centre-kernel stability),Symmetry group extensions in particle physics and molecular geometry,2,,,,
Sound Limit Doctrine,Category Theory,Set D of small categories preserving limits of representables under Kan extension,Level 3+ (Meta-classification of structures),D-filtered colimit preservation,Stability conditions for accessible categories in multi-sorted physical models,2,,,,
Combinatory Categorial Grammar (CCG),Linguistics / Logic,Functional categories (X/Y) with application rules,Level 1 (Constituent pairing),Forward/Backward composition (B) and Type-raising (T),Neural processing of language hierarchies and long-distance dependencies,2,,,,
Local-Global Passage,Sheaf Theory,Gluing of compatible local data assignments,Level 2 (Coherent structures),Sheaf condition (equalizer diagram),"Synthetic vision of planetary changes from distributed sensor data (arctic ice, greenhouse gases)",3,,,,
Metric Space,Topology/Analysis,Distance function (d: X × X → R≥0) with triangle inequality,Level 1 (Relational metrics),"Metric axioms (identity, symmetry, triangle inequality)",Classical geometry of Euclidean space (Rn) and physical distance measurements,3,,,,
Adjunction (Galois Connection),Category Theory,"HomD(F(c), d) ≅ HomC(c, G(d))",Level 3+ (Universal mediation),Unit (̗) and Counit (̴) transformations,"Image morphology (dilation and erosion), physical determinacy (cohesion)",3,,,,
Grothendieck Topology,Topology,System of covering sieves on a category,Level 2 (Generalized covers),Stability under change of base and local character conditions,Spacetime connectivity in Minkowski geometry (S4.2 logic),3,,,,
Heyting Algebra Negation,Logic,¬p := (p ⇒ 0),Level 1 (Logical constraints),Cartesian closed structure/implication operator,Verifiability of properties in neighborhoods (Logic of finite observations),3,,,,
Boundary Operator (∂),Topology/Geometry,∂(U) := cl(U) \ int(U),Level 1 (Difference operators),Kuratowski closure and interior axioms,"Paraconsistent logic in material bodies (transition states), physical skins/surfaces",3,,,,
Representability (Yoneda Lemma),Category Theory,"Nat(Yc, F) ≅ F(c)",Level 3+ (Relational determination),Yoneda embedding (y),Robot object recognition through sensory probing/interaction,3,,,,
Cohesion (Adjoint Cylinder),Topos Theory,Π ⊣ Δ ⊣ Γ ⊣ B,Level 3+ (Unity of opposites),Connected components (Π) and points (Γ) functors,"Material stiffness, elasticity, and the transition from discrete points to continuous bodies",3,,,,
M-script,Computational Linguistics / Cognition,Script Algebra / Unification Grammar,Level 2 (Recursive Functional Logic),M-unification / M-intersection,Neural associative retrieval / Primate social intelligence structures,4,,,,
Bayesian Learning Speed Limit,Information Theory / Learning Theory,Bayesian Probabilistic Calculus (Equation 3.1),Level 1 (Statistical Invariant),Log-probability / Information Content I(S),Optimal evolutionary fitness in cognition,4,,,,
Trump Links,Logic / Topology,Unbounded function mapping between subtrees,Level 3+ (Infinite Recursion Support),Boundary Operator / Constraint Solver,Semantic connectivity in Theory of Mind,4,,,,
Script Inclusion (>s),Set Theory,Inverse Subsumption (Equation 2.1),Level 0 (Primitive Comparison),Scope inclusion σ(A) < σ(B),Hierarchical categorization in primate brains,4,,,,
Recursive SMS Synthesis,Complex Systems / Linguistics,Commutative/Associative M-unification,Level 2 (Structural Assembly),Energy Minimization / Maximum Likelihood,Sentence molecule formation (Chemical Analogy),4,,,,
Shared Identity Ace (?A),Formal Logic,Variable Binding / Value Sharing,Level 1 (Variable Logic),Constraint satisfaction / Trace identities,Neuro-symbolic object permanence,4,,,,
Recursive Distinction Theory (RDT),Mathematics / Cardinality,Fixed point for cardinality closure (D* ≅ D³(D*)),Level 3+,n → ∞ limit of distinction hierarchy,Mapping of uncountable infinities and continuum closure,5,,,,
Metamorphic Boundary Operator,Arithmetic / Stability,∂H² = id,Level 2,Paradox Stabilization,Structural stability of arithmetic through self-negation,5,,,,
Entropic-Centropic (E-C) Algebra,Computational Complexity / Diophantine Equations,Ηcrit = ϕ⁻¹ ≈ 0.618,Level 1-2,REME phase transition threshold,Phase transitions in solvability; geometric energy wells,5,,,,
Information Geometry,Physics / Relativity,Geodesic flow in Torsional Statistical Manifold,Level 2,Relational Information Gradient (IR),Spacetime torsion; non-Euclidean shortest distance paths,5,,,,
Unified Centropic Gravity,Physics / Unified Field Theory,Einstein Field Equations derived from E-C algebra,Level 3,Informational density source (Iμν),Energy-momentum tensor as informational density,5,,,,
Tensegrity Icosahedron Model,Geometry / Spatial Emergence,Self-Tessellating Knowledge,Level 2,Resolved non-associative evasions,Emergent space; building of space from polyhedra,5,,,,
Evasion from Auto-Identity,Number Theory,"Irrationality indices (π, ϕ)",Level 1,Fourth evasion of discreteness,Guarantee against absolute fixation in the universe,5,,,,
Torsion Singularities (Primes),Number Theory / Riemann Hypothesis,ζ(p) := spike(∇⁶Φ),Level 3+,Alignment along critical coherence line (η = 0.618),Paradox barcodes; Prime number distribution,5,,,,
Action Principle of Meaning,Dynamics / Reasoning,δS = 0 (Calculus of Variations),Level 2,Semantic Potential (Contradiction Energy),Reasoning trajectories in conceptual space,5,,,,
Reverse Operator,Causality / Architecture of Self,Inversion of the Arrow of Causality,Level 3,Counter-Flow Valve,Retconning of present reality; reverse-eversion (sphere inversion),5,,,,
Second-Order Aboutness (A2),Formal Epistemology,"About(About(x,y), Confidence(x))",Level 2,Least fixed-point operator (μ),Self-validating confidence metrics in cognitive agents,5,,,,
Epiplexity (Epistemic Complexity),Information Theory / Machine Learning,MDL principle under computational constraints (Definition 8).  $S_T(X) = \,P^*\,$  where  $P^*$  minimizes two-part code length  $\,P\,E\log 1/P(X)$ .,2 (Logical Distinction/Self-Reference),Area under the loss curve above the final loss (Prequential) or Cumulative KL divergence (Requential).,"Emergent structures in dynamical systems (cellular automata gliders), algorithmic patterns, and learnable OOD features in AI weights.",6
Strictly Tangled Spectral Triple (ST2),Noncommutative Geometry / Parabolic Geometry,Finite collection  $D = (D_j)_{j \in I}$  of strictly anti-commuting self-adjoint operators satisfying tangled commutator bounds.,3+ (Interdependent Recursive Structures),Bounding matrix  $\epsilon$  satisfying the decreasing cycle condition and the operator  $D_t = \sum \text{sign}(D_j)\,D_j\,^{t_j}$ .,"Anisotropy in parabolic manifolds, Rockland complexes on filtered manifolds, and nilpotent flows in homogeneous spaces.",7,,
Prefix Kolmogorov Complexity,Algorithmic Information Theory,$K(x) = \min\{\,p\,: U(p) = x\}$  where  $U$  is a universal prefix-free Turing machine.,1 (Self-Contained Distinction),Incompressibility threshold / Shortest program length operator.,Deterministic unpredictability and algorithmic randomness (Martin-Löf randomness).,6,,
