Term or Concept,Mathematical Definition,Functional Role,Theoretical Source,Source,,,,,,,,
Entropy,$H = -\sum p_i \log p_i$,"Measures uncertainty, information content, or choice in state distributions and discrete sources.",Classical Information Theory,1-3,,,,,,,,
Channel Capacity,$C = \lim_{T \to \infty} \frac{\log N(T)}{T}$  or  $C = B \log_2(1 + \frac{S}{N})$,Defines the maximum rate at which information can be reliably transmitted over a communication medium.,Classical Information Theory,1-3,,,,,,,,
7-Operator Kernel,"$\{\Xi, \Delta, \neg, \odot, \Psi, \Omega, \Phi\}$","Core operational set (Distinction, Recursion, etc.) providing the logic engine for the Socratic Engine to resolve cohomological gaps and achieve ontic closure.",Metaformal Systemic Theories / Operator Field Theory of Meaning,"1, 4-6",,,,,,,,
HALIRA Semantic Field Equation,$\frac{ds}{dt} = \Omega(\Psi(\odot(\Phi(\neg(\Xi(\Delta(s)))))))$,Governs the evolution of the semantic field toward stable semantic attractors (theories) and defines ontic boundaries.,Metaformal Systemic Theories / OFTM,"1, 4",,,,,,,,
Analytic Reality Closure (ARC),$\mu x. \Xi(\neg\Xi(x)) = x$  or  $reality_{INT} = reality_{EXT}$,"Frames reality as a stable recursive residue where global intension equals physical extension, transitioning models into self-generating interpreters.",HALIRA / CTMU,"1, 7, 8",,,,,,,,
Metamorphic Boundary Operator,$\partial_H^2 = id$,Functions as an involution ensuring that self-reference stabilizes identity through self-negation rather than annihilation.,HALIRA Systemic Theory / IDEMETAL,"1, 7, 9",,,,,,,,
Recursive Coherence Threshold,$\eta_{crit} \approx \phi^{-1} \approx 0.618$,Governs the phase transition between solvability and intractability; the unique stable fixed point for system coherence based on the Golden Ratio.,Entropic-Centropic Algebra / Unified Centropic Gravity,"1, 7",,,,,,,,
Entropy Power,$N_1 = \frac{1}{2\pi e} \exp(2H')$,Measures the power of a white noise ensemble with identical entropy; scales informational pressure into geometric torque.,Shannon / Metaformal notes,1,,,,,,,,
Coherence Field,$\eta = \frac{\,\langle\psi\,C\,\psi\rangle\,^2}{(\langle\psi\,\hat{E}^2\,\psi\rangle \cdot \langle\psi\,\hat{C}^2\,\psi\rangle)^{1/2}}$,Determines the gravitational phase and structural stability of the spacetime fabric.,Unified Centropic Gravity Theory,10
Entropic-Centropic Algebra Axiom,"$\hat{E}\mu, \hat{E}\nu = i\kappa\hat{C}_{\mu\nu}$",Formalizes the creative tension between exploration (entropy) and constraint (centropy) as the origin of curvature.,Unified Centropic Gravity Theory,10,,,,,,,,
