Model Name,Domain,Dimensionality,Primary Operator,Core Mathematical Concept,Emergent Phenomenon,Source
Noncommutative Toric Variety,Quantum Gravity / String Theory,"6D, 4D, 3D, or 2D","ADHM data (deformed Heisenberg operators  $x_i, x_j = i\theta_{ij}$ )","Young diagrams, plane partitions, and ideal sheaves",Crystal melting; discretization of spacetime at the Planck scale; gravitational quantum foam,1-4
Spectral Prime System,Number Theory / Spectral Geometry,1D (effective fractional  $d_s = 1/2$ ),Coherence Hamiltonian ( $H = L_c^2$ ) / Bi-Laplacian,"Tauberian theorems, Riemann Zeta zeros, and arithmetic dissimilarity",Spectral compression; absolute spectral rigidity; Riemann Hypothesis as vacuum stability,"1, 4-8"
Extended Free Energy Principle (FEP+),Cognitive Neuroscience / Artificial Intelligence,4D reality state-space / High-dimensional embeddings,Free Energy Functional ( $F^*$ ) / Lexical injection operator  $Q$,"Network controllability, coupled oscillators, and topos/sheaf theory",Intelligent agency; flow states; emergent cognition; metacognitive oscillation,"1, 9-12"
Spectral Codes,Quantum Error Correction,$2n$  (Kähler manifold base),Dirac-type Operator,Spectral triples in noncommutative geometry,Geometric separation of global information from local errors,"13, 14"
SpectralTensor state / 64D Manifold,Quantum Gravity / Algorithmic Epistemology,64D (16D sedenion  $\times$  sigma basis),Adjoint Endofunctors ( $L \dashv R$ ),Akchurin algebra and subobject classifier  $\Omega$,Autopoietic closure; holographic compression,1
Einstein-Cartan Gravity (ECKS),Quantum Gravity / Cosmology,$D$ -dimensional (typically 4D spacetime),Energy-momentum tensor with torsion contributions,Non-dynamical torsion tensor and four-fermion interaction,Cosmological bounce; aversion of big crunch singularities,9
Noncommutative Two-Torus ( $T^2_\theta$ ),Noncommutative Geometry / Matrix Models,2D,Flat Dirac Operator ( $\sigma_1 \partial_1 + \sigma_2 \partial_2$ ),"Unitary generators  $(U, V)$  and Fourier series",Quantum metric on state space; T-duality in D-branes,15
Yang-Mills-Higgs Dirac Ensemble,Particle Physics / Quantum Gravity,"(0, 4) Riemannian signature",Inner-fluctuated Dirac Operator ( $D_\omega$ ),Fuzzy spectral triple paired with finite spectral triple,Emergence of gauge fields and Higgs-type potential,15
Hopf Quasigroup / Algebraic 7-Sphere,Noncommutative Geometry / Algebraic Topology,7D ( $S^7$  sphere),Antipode  $S$  / Maurer-Cartan Form,Mal’tsev Algebras and Cayley-Dickson Process,Parallelizability of  $S^7$ ;  $q$ -deformation,16
PT-Symmetric LC Circuit,Electrical Engineering,Single LC oscillator (2-site map),Kirchhoff Law Matrix / Synthetic Hamiltonian,Time-periodic capacitance/inductance variation,Giant dynamical asymmetry; Floquet PT-transitions,17
